都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,計画機関,作業機関,実施時期,付図番号
北海道,"苫小牧市,",総合計画,"基準点,基準点","1級,,2級","4point,9point",北海道苫小牧市助言070824A0341,(株)タナカコンサルタント,"07.08.23,07.10.31",
北海道,"厚岸町,",総合計画,基準点,2級,10point,北海道厚岸町助言070727A0279,(株)パスコ,"07.07.17,07.09.18",
北海道,"本別町,音別町,浦幌町,白糠町,",道路計画,"基準点,水準","2級,,2級","62point,58point",日本道路公団札幌建設局帯広工事事務所助言070808A0309,"(株)パスコ,大成エンジニアリング(株),(株)ハイウエイ・エンジニアリング,(株)八州","07.08.04,07.12.29",
北海道,"阿寒町,白糠町,",道路計画,"基準点,水準","2級,,2級","20point,18point",日本道路公団札幌建設局帯広工事事務所助言071127A0473,"第一航業(株),北王コンサルタント(株)","07.11.20,08.03.21",
北海道,"大樹町,",河川敷地境界確定測量,基準点,2級,5point,帯広開発建設部助言070629A0213,(株)ズコーシャ,"07.06.26,08.01.31",
北海道,"斜里町,",排水路設計,基準点,2級,2point,網走開発建設部助言080123A0518,北海道開発コンサルタント(株),"08.01.22,08.03.20",
北海道,"中富良野町,",ほ場整備,基準点,2級,20point,北海道上川支庁助言070519A0051,旭川設計測量(株),"07.05.20,07.06.30",
北海道,"上川町,",河川計画,"基準点,基準点","2級,,3級","2point,4point",北海道旭川土木現業所助言070711A0238,旭川設計測量(株),"07.06.12,07.09.25",
北海道,"広島町,",土地区画整理,基準点,2級,19point,広島町大曲柏葉台土地区画整理組合助言070921A0372,(株)タケカワ総合コンサルタント,"07.06.25,09.03.30",
北海道,"恵庭市,",土地区画整理,基準点,2級,7point,恵庭市黄金土地区画整理組合助言071120A0467,"(株)タケカワ総合コンサルタント,テーエス測量設計(株)","63.04.01,08.03.31",
北海道,"利尻富士町,",道路計画,"基準点,基準点","2級,,3級","8point,5point",北海道稚内土木現業所助言080304A0527,(株)富士測量,"08.03.07,08.03.21",
北海道,"札幌市,",土地区画整理,基準点,2級,1point,北海道札幌市助言070605A0106,大東測地(株),"07.06.05,07.08.25",
北海道,"興部町,",道路計画,基準点,2級,3point,網走開発建設部助言070531A0080,(株)村越工務所,"07.06.01,07.08.01",
北海道,"留萌市,",農道計画,"基準点,基準点","2級,,3級","4point,1point",北海道留萌支庁助言070515A0043,ロイヤル測量設計(株),"07.04.19,07.07.20",
北海道,"興部町,",農道計画,"基準点,基準点","2級,,3級","4point,7point",北海道網走支庁助言070524A0079,ロイヤル測量設計(株),"07.05.29,07.08.23",
北海道,"今金町,",土地改良,"基準点,基準点","2級,,3級","7point,8point",北海道檜山支庁助言070619A0168,ロイヤル測量設計(株),"07.06.15,07.09.20",
北海道,"女満別町,",農道計画,"基準点,基準点","2級,,3級","5point,5point",北海道網走支庁助言070619A0169,ロイヤル測量設計(株),"07.05.25,07.10.27",
北海道,"新篠津村,",農道計画,"基準点,基準点","2級,,3級","4point,6point",北海道石狩支庁助言070626A0191,ロイヤル測量設計(株),"07.06.23,07.07.10",
北海道,"八雲町,",土地改良,基準点,2級,2point,北海道渡島支庁助言070705A0226,ロイヤル測量設計(株),"07.07.07,07.07.31",
北海道,"音更町,",土地改良,"基準点,基準点","2級,,3級","6point,16point",北海道十勝支庁助言070901A0348,ロイヤル測量設計(株),"07.09.01,07.09.15",
