都道府県名,測量地域,測量目的,測量種別,縮尺･等級,事業量,計画機関,作業機関,自至時期,
北海道,"幌加内町,沼田町,深川市,秩父別町,妹背牛町,雨竜町,滝川市,砂川市,新十津川町,新篠津村,北村,月形町,赤平市,北竜町,浦臼町,",河川計画,基準点,2級,38point,"石狩川開発建設部
助言H15.4.7A0001",(株)武田測量設計事務所,"H15.4.15
H15.11.20",
北海道,"士幌町,音更町,",畑総(担い手育成)士幌南地区委託51業務,座標変換,3級,9point,"北海道十勝支庁
助言H15.4.7A0002",(株)安井測量設計事務所,"H15.4.2
H15.5.30",
北海道,"鵡川町,穂別町,",鵡川･沙流川改修平面図作成業務,座標変換,2500,93.5KM2,"室蘭開発建設部
助言H15.4.7A0003",日測技研(株),"H15.3.19
H15.9.30",
北海道,"旭川市,美瑛町,愛別町,上川町,富良野市,",河川事業の基礎資料としての2級基準点設置,"基準点,水準","2級,,2級","117point,118.4km","旭川開発建設部
助言H15.4.9A0004",(株)アサヒ建設コンサルタント,"H15.3.14
H15.9.26",
北海道,"美深町,名寄市,士別市,朝日町,",河川管理,"基準点,水準","2級,,2級","85point,76.6km","旭川開発建設部
助言H15.4.24A0005",荒木測量設計(株),"H15.2.28
H15.9.26",
北海道,"小樽市,",港湾計画,"基準点,基準点,基準点","2級,,3級,,4級","5point,2point,2point","小樽市
助言H15.4.24A0006",北海道調査測量(株),"H15.4.9
H15.5.20",
北海道,"厚沢部町,",河川管理,"基準点,基準点","2級,,3級","4point,12point","北海道函館土木現業所
助言H15.4.24A0007",(株)シン技術コンサル,"H15.3.14
H15.12.22",
北海道,"上士幌町,",土地改良,座標変換,3級,3point,"北海道十勝支庁
助言H15.5.2A0008",(有)堀内測量事務所,"H15.4.30
H15.5.30",
北海道,"沼田町,秩父別町,北竜町,雨竜町,新十津川町,小樽市,浦臼町,札幌市,月形町,恵庭市,厚田村,千歳市,由仁町,栗山町,三笠市,美唄市,上砂川町,赤平市,滝川市,旭川市,",河川管理,座標変換,2500,2072.2KM2,"石狩川開発建設部
助言H15.5.2A0009",(株)シン技術コンサル,"H15.4.30
H15.6.30",
北海道,"士幌町,",その他,座標変換,3級,3point,"北海道十勝支庁
助言H15.5.7A0010",(株)山下測量設計社,"H15.4.28
H15.6.30",
北海道,"妹背牛町,",農地開発,基準点,3級,6point,"北海道空知支庁
助言H15.5.7A0011",(株)北開測地,"H15.5.6
H16.3.10",
北海道,"雨竜町,",地籍調査,座標変換,1000,66.9KM2,"雨竜町
助言H15.5.7A0012",(株)ランド･サーベイ,"H15.4.30
H15.5.30",
北海道,"瀬棚町,",道路用地,"基準点,基準点","2級,,3級","2point,1point","北海道函館土木現業所
助言H15.5.7A0013",日鉄鉱コンサルタント(株),"H15.6.30
H15.10.31",
北海道,"北見市,",道路計画,基準点,3級,10point,"網走開発建設部
助言H15.5.7A0014",(株)ドボク管理,"H15.5.14
H15.8.13",
北海道,"足寄町,",その他,座標変換,3級,10point,"北海道十勝支庁
助言H15.5.8A0015",菊地技術コンサルタント(株),"H15.4.18
H15.8.29",
北海道,"上川町,",河川計画,写測修正,2500,14.6KM2,"旭川開発建設部
助言H15.5.8A0016",(株)シン技術コンサル,"H15.4.25
H15.6.30",
北海道,"浦河町,様似町,えりも町,広尾町,長万部町,八雲町,今金町,瀬棚町,北檜山町,上ノ国町,松前町,福島町,知内町,木古内町,",森林計画,"撮影,撮影,撮影","20000,,20000,,20000","1370.0KM2,1500.0KM2,1320.0KM2","北海道
助言H15.5.8A0017","東北測量(株)
アジア航測(株)
(株)八州","H15.6.1
H15.11.26",
北海道,"足寄町,",ほ場整備,"座標変換,基準点","3級,,4級","3point,9point","北海道十勝支庁
助言H15.5.8A0018",コスモ測量設計(株),"H15.5.2
H15.7.22",
北海道,"長沼町,",ほ場整備,"基準点,基準点","3級,,4級","4point,6point","北海道空知支庁
助言H15.5.9A0019",北海道調査補償(株),"H15.5.6
H15.6.30",
北海道,"妹背牛町,",ほ場整備,基準点,3級,8point,"北海道空知支庁
助言H15.5.12A0020",(株)みずほ設計事務所,"H15.5.10
H15.9.10",
北海道,"網走市,",道路計画,基準点,3級,2point,"網走市
助言H15.5.13A0021",(株)ムラコシ,"H15.5.19
H15.10.31",
北海道,"幌加内町,",河川計画,基準点,3級,20point,"北海道札幌土木現業所
助言H15.5.15A0022",共和コンサルタント(株),"H15.4.16
H15.7.30",
北海道,"留辺蘂町,",都市計画,"座標変換,座標変換","１級,,2級","30point,70point","留辺藁町
助言H15.5.15A0023",(株)シン技術コンサル,"H15.5.13
H16.1.15",
北海道,"長沼町,",ほ場整備,基準点,3級,11point,"北海道空知支庁
助言H15.5.15A0024",(株)グリーン測量,"H15.5.8
H15.12.22",
北海道,"室蘭市,",港湾計画,"基準点,基準点","3級,,4級","5point,23point","室蘭開発建設部室蘭港湾建設事務所
助言H15.5.14A0025",(有)秦成測量,"H15.4.24
H15.12.18",
北海道,"厚沢部町,",河川計画,"基準点,基準点","2級,,3級","3point,14point","北海道函館土木現業所
助言H15.5.15A0026",(株)サッポロ･エンジニヤーズ,"H15.5.8
H15.12.22",
北海道,"深川市,",ほ場整備,基準点,3級,20point,"北海道空知支庁
助言H15.5.15A0027",(株)ルーラルェンジニア,"H15.5.12
H15.12.20",
北海道,"佐呂間町,",農道計画,基準点,4級,19point,"北海道網走支庁
助言H15.5.15A0028",北見設計測量(株),"H15.5.12
H15.6.30",
