都道府県名,測量地域,測量目的,測量種別,縮尺･等級,事業量,計画機関,作業機関,自至時期
北海道,"旭川市,",道路計画,"基準点,基準点","2級,,4級","2point,20point","北海道上川支庁
助言　　　　H18.4.4 A 0001",大地コンサルタント(株),"H18.5.13
H19.3.21"
北海道,"空白,",宅地開発,基準点,１級,6point,"音更町
助言　　　H18.4.24 A 0002",東和工研(株),"H18.4.1
H18.7.31"
北海道,"根室市,",道路用地,基準点,3級,2point,"北海道釧路支庁
助言　　　H18.4.25 A 0003",(株)日建エンヂニアリング,"H18.4.21
H18.7.10"
北海道,"千歳市,",都市計画,"基準点,基準点","3級,,4級","5point,32point","千歳市
助言　　　H18.5.11　A 0004",(有)坂口測量,"H18.3.18
H19.1.15"
北海道,"岩見沢市,",河川計画,基準点,2級,2point,"北海道石狩支庁
助言H18.5.11 A 0005",開成コンサルタント(株),"H18.5.9
H18.7.31"
北海道,"別海町,",土地改良,基準点,2級,2point,"釧路開発建設部
助言　　　H18.5.11　A 0006",(株)小出コンサルタント,"H18.4.27
H18.7.31"
北海道,"名寄市,",土地改良,数値図化,1000,2.5KM2,"北海道上川支庁
助言　　　H18.5.11　A 0007",北海航測(株),"H18.5.10
H18.7.31"
北海道,"名寄市,",土地改良,基準点,2級,10point,"北海道上川支庁
助言　　　H18.5.11　A 0008",新栄コンサルタント(株),"H18.5.10
H19.1.10"
北海道,"上ノ国町,",道路用地,基準点,3級,5point,"北海道渡島支庁
助言　　　H18.5.11　A 0009",(株)東鵬開発,"H18.5.1
H18.8.31"
北海道,"当別町,新篠津村,札幌市,月形町,",土地改良,"カラー撮影,水準,空三,数値図化","8000,,簡級,,1000,,1000","71.8KM2,39.8km,60M,10.9KM2","北海道石狩支庁
助言　　　H18.5.11　A 0010",北海航測(株),"H18.4.28
H18.8.21"
北海道,"音更町,",農道計画,座標変換,3級,1point,"北海道十勝支庁
助言　　　H18.5.11　A 0011",(株)十勝測量設計社,"H18.4.21
H18.6.20"
北海道,"留萌市,",ダム計画,基準点,3級,6point,"留萌開発建設部
助言　　　H18.5.11　A 0012",小杉測量設計(株),"H18.4.19
H18.8.30"
北海道,"平取町,",土地改良,基準点,3級,7point,"北海道日高支庁
助言　　　H18.5.11　A 0013",(株)細道コンサルタント,"H18.4.26
H18.9.26"
北海道,"雨竜町,",土地改良,基準点,3級,28point,"北海道空知支庁
助言　　　H18.5.11　A 0014",(株)ルーラルェンジニア,"H18.5.10
H18.12.20"
北海道,"別海町,",道路台帳,基準点,3級,2point,"北海道釧路支庁
助言　　　H18.5.11　A 0015",(株)開発調査研究所,"H18.5.8
H18.8.30"
北海道,"斜里町,",道路用地,"基準点,基準点","１級,,3級","3point,6point","北海道網走支庁
助言　　　H18.5.11　A 0016",サン技術コンサルタント(株),"H18.5.8
H18.7.31"
