都道府県名,測量地域,測量目的,測量種別,"縮尺･,,等級",事業量,計画機関,作業機関,自至時期
北海道,"旭川市,鷹栖町,",道路計画,基準点,3級,14point,"北海道上川支庁
助言H19.4.25A0001",北海道土木設計(株),"H19.6.1
H19.11.30"
北海道,"網走市,紋別市,北見市,湧別町,雄武町,興部町,佐呂間町,",道路中心線確定測量,"基準点,基準点","１級,,3級","157point,316point","網走開発建設部
助言H19.4.26A0002","ランドシステム(有)
(株)アクセスフィールド
サン技術コンサルタント(株)
(株)エクサ設計","H19.4.18
H19.6.30"
北海道,"遠軽町,",道路計画,"基準点,基準点,基準点","１級,,3級,,4級","4point,8point,25point","北海道網走支庁
助言H19.5.8A0003",北見設計測量(株),"H19.4.19
H19.12.20"
北海道,"網走市,大空町,",河川管理,"基準点,基準点","１級,,3級","5point,19point","北海道網走支庁
助言H19.5.8A0004",サン技術コンサルタント(株),"H19.4.24
H19.10.30"
北海道,"北斗市,",道路用地,基準点,3級,5point,"北海道渡島支庁
助言H19.5.8A0005",(株)牧野測量,"H19.5.10
H19.8.30"
北海道,"八雲町,",道路用地,"基準点,基準点","1級,,3級","4point,7point","北海道渡島支庁
助言H19.5.8A0006",(株)ツカサ技研,"H19.5.14
H19.6.20"
北海道,"平取町,",土地改良,基準点,3級,3point,"北海道日高支庁
助言H19.5.14A0007",(株)細道コンサルタント,"H19.4.23
H19.11.9"
北海道,"別海町,",農地開発,数値図化,10000,505.0KM2,"釧路開発建設部
助言H19.5.8A0008",(株)北海道朝日航洋,"H19.4.20
H19.9.21"
北海道,"枝幸町,",道路用地,基準点,3級,2point,"稚内開発建設部
助言H19.5.8A0009",北辰建設コンサルタント(株),"H19.5.7
H19.5.18"
北海道,"札幌市,",土地区画整理,基準点,4級,32point,"札幌市手稲曙西土地区圃整理組合
助言H19.5.14A0010",(株)拓殖設計,"H19.5.8
H19.12.20"
北海道,"深川市,",土地改良,基準点,3級,10point,"北海道空知支庁
助言H19.5.14A0011",(株)グリーン測量,"H19.5.3
H20.2.29"
北海道,"安平町,",道路計画,基準点,2級,2point,"安平町
助言H19.5.15A0012",ダイシン設計(株),"H19.5.8
H19.7.30"
北海道,"津別町,",土地改良,基準点,4級,4point,"北海道網走支庁
助言H19.5.17A0013",(株)大道測量設計,"H19.5.8
H19.7.20"
北海道,"余市町,仁木町,小樽市,赤井川村,",道路計画,"数値図化,撮影,空三","1000,,8000,,","9.6KM2,40.8KM2,30M","小樽開発建設部
助言H19.5.14A0014",(株)ハ州,"H19.4.25
H19.11.30"
北海道,"恵庭市,",都市計画,"数値撮影,数値図化","12500,,2500","95.3KM2,85.2KM2","恵庭市
助言H19.5.14A0015",(株)北海道朝日航洋,"H19.5.1
H20.3.10"
北海道,"雄武町,興部町,紋別市,滝上町,下川町,新得町,小清水町,芽室町,帯広市,更別村,幕別町,大樹町,広尾町,豊頃町,西興部村,",森林計画,撮影,20000,4202.0KM2,"北海道
助言H19.5.14A0016","北海航測(株)
アジア航測(株)","H19.6.1
H19.11.22"
北海道,"新冠町,",農道計画,基準点,3級,25point,"北海道日高支庁
助言H19.5.14A0017",(株)桜井測量,"H19.5.14
H20.2.29"
北海道,"当別町,",土地改良,基準点,3級,17point,"北海道石狩支庁
助言H19.5.16A0018",(株)帝国設計事務所,"H19.5.21
H19.12.20"
北海道,"新十津川町,",土地改良,基準点,3級,22point,"北海道空知支庁
助言H19.5.14A0019",(株)空知コンサルタント,"H19.5.9
H19.12.10"
北海道,"秩父別町,",土地改良,基準点,3級,20point,"北海道空知支庁
助言H19.5.14A0020",(株)北開測地,"H19.5.10
H20.2.20"
北海道,"旭川市,幌加内町,",道路計画,"基準点,基準点","2級,,3級","9point,14point","北海道石狩支庁
助言H19.5.14A0021",(株)アイネス,"H19.5.10
H19.12.20"
北海道,"木古内町,",道路計画,"基準点,基準点","2級,,3級","8point,16point","函館開発建設部函館道路事務所
助言H19.5.14A0022",(株)三友コンサルタント,"H19.4.12
H19.9.28"
北海道,"帯広市,",砂防計画,"基準点,基準点","1級,,3級","1point,6point","帯広開発建設部
助言H19.5.16A0023",北海道測量事業協同組合,"H19.5.9
H19.9.7"
北海道,"鶴居村,",農地開発,基準点,3級,9point,"釧路開発建設部
助言H19.5.16A0024",(株)フロンティア技研,"H19.5.9
H19.8.24"
北海道,"秩父別町,",土地改良,基準点,3級,53point,"北海道空知支庁
助言H19.5.16A0025",ダイシン設計(株),"H19.5.10
H19.6.20"
北海道,"鶴居村,",道路計画,基準点,3級,17point,"北海道釧路支庁
助言H19.5.16A0026",東邦コンサルタント(株),"H19.5.21
H19.11.30"
北海道,"深川市,",土地改良,"基準点,平板","3級,,1000","19point,0.3KM2","北海道空知支庁
助言H19.5.16A0027",技研測量設計(株),"H19.4.23
H20.3.19"
北海道,"奈井江町,",ほ場整備,基準点,3級,24point,"北海道空知支庁
助言H19.5.16A0028",北日本技研(株),"H19.5.10
H20.1.18"
北海道,"奈井江町,",土地改良,基準点,3級,11point,"北海道空知支庁
助言H19.5.16A0029",(株)田西設計コンサル,"H19.5.10
H19.12.20"
北海道,"石狩市,",土地改良,基準点,3級,23point,"北海道石狩支庁
助言H19.5.16A0030",(株)田西設計コンサル,"H19.4.27
H19.10.30"
北海道,"当別町,",土地改良,"基準点,座標変換","3級,,2級","7point,2point","北海道石狩支庁
助言H19.5.16A0031",明成コンサルタント(株),"H19.5.12
H20.1.18"
北海道,"遠別町,",道路計画,基準点,3級,2point,"北海道留萌支庁
助言H19.5.18A0032",ダイシン設計(株),"H19.5.14
H19.7.30"
北海道,"函館市,",地すべり対策,基準点,4級,7point,"北海道渡島支庁
助言H19.5.25A0033",アース測量設計(株),"H19.6.7
H19.7.30"
北海道,"上富良野町,",土地改良,基準点,3級,9point,"北海道上川支庁
助言H19.5.21A0034",(株)田西設計コンサル,"H19.4.27
H19.10.30"
北海道,"上ノ国町,",魚道設計,基準点,3級,2point,"北海道檜山支庁
助言H19.5.21A0035",パブリックコンサルタント(株),"H19.5.16
H19.8.30"
北海道,"美唄市,",河川計画,基準点,2級,1point,"石狩川開発建設部
助言H19.5.21A0036",千廣測量(株),"H19.5.7
H19.7.2"
北海道,"むかわ町,",都市計画,"撮影,撮影,数値図化,数値図化,数値図化","12500,,8000,,1000,,2500,,5000","381.0KM2,7.0KM2,5.5KM2,194.5KM2,181.0KM2","むかわ町
助言H19.5.22A0037",アジア航測(株),"H19.4.9
H20.2.29"
北海道,"富良野市,",土地改良,基準点,3級,17point,"北海道上川支庁
助言H19.5.21A0038","(株)北海道農業建設コン
サルタント","H19.5.16
H20.3.30"
北海道,"秩父別町,",土地改良,基準点,3級,13point,"北海道空知支庁
助言H19.5.21A0039",(株)香島コンサルタント,"H19.5.16
H19.11.20"
北海道,"深川市,",土地改良,基準点,3級,20point,"北海道空知支庁
助言H19.5.21A0040",(株)アルファ技研,"H19.5.1
H20.3.19"
北海道,"秩父別町,沼田町,",土地改良,基準点,3級,17point,"北海道空知支庁
助言H19.5.21A0041",(株)ルーラルェンジニア,"H19.5.17
H19.12.20"
北海道,"今金町,",道路計画,基準点,3級,3point,"北海道檜山支庁
助言H19.5.21A0042",(株)アース設計事務所,"H19.5.10
H19.10.30"
北海道,"旭川市,",道路計画,"路線,平板",",,1000","1.1km,0.1KM2","北海道上川支庁
助言H19.5.22A0043","(株)アサヒ建設コンサルタ
ント","H19.5.25
H19.8.20"
北海道,"北見市,",土地改良,基準点,3級,14point,"網走開発建設部
助言H19.5.28A0044","北海道農業土木コンサル
タント(株)","H19.5.18
H19.10.23"
北海道,"鶴居村,",農地開発,基準点,3級,18point,"釧路開発建設部
助言H19.5.22A0045",(株)三幸測量設計社,"H19.5.18
H19.8.22"
北海道,"栗山町,",土地改良,"基準点,水準,カラー撮影,数値図化","3級,,3級,,8000,,1000","32point,8.2km,23.6KM2,4.7KM2","北海道空知支庁
助言H19.5.23A0046",アジア航測(株),"H19.4.23
H19.9.28"
北海道,"帯広市,",土地改良,基準点,3級,4point,"北海道十勝支庁
助言H19.5.23A0047",(株)ズコーシャ,"H19.5.18
H19.7.30"
北海道,"小平町,",道路計画,基準点,3級,1point,"北海道留萌支庁
助言H19.5.23A0048",小杉測量設計(株),"H19.5.10
H19.8.30"
北海道,"厚岸町,",土地改良,"基準点,基準点","１級,,3級","2point,5point","北海道釧路支庁
助言H19.5.25A0049",(株)松木測量設計,"H19.5.19
H19.9.28"
北海道,"共和町,",道路計画,基準点,3級,5point,"共和町
助言H19.5.25A0050",北山測量設計(株),"H19.5.19
H19.6.29"
