都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,計画機関,作業機関,自至時期
北海道,"上川町,",道路計画,基準点,１級,4point,助言H20.4.15A0001北海道上川支庁,北海道土木設計(株),"H20.4.25
H20.7.31"
北海道,"日高町,",道路計画,"基準点,基準点","２級,,３級","2point,5point",助言H20.4.18A0002北海道胆振支庁,アルファ計画(株),"H20.4.22
H20.5.20"
北海道,"和寒町,",河川計画,基準点,３級,2point,助言H20.4.18A0003北海道上川支庁,新栄コンサルタント(株),"H20.4.10
H20.8.20"
北海道,"江別市,新篠津村,岩見沢市,月形町,美唄市,浦臼町,奈井江町,砂川市,新十津川町,滝川市,雨竜町,深川市,妹背牛町,",河川計画,"空三,水準,数値図化","25000,,簡級,,5000","50M,129.6km,361.5KM2",助言H20.4.28A0004石狩川開発建設部,(株)シン技術コンサル,"H20.4.8
H21.1.30"
北海道,"標茶町,弟子屈町,",河川計画,数値図化,2500,41.9KM2,助言H20.5.9A0005釧路開発建設部,日測技研(株),"H20.4.11
H20.10.31"
北海道,"美瑛町,",農道計画,"基準点,基準点,路線","３級,,４級,,","2point,5point,0.3km",助言H20.5.1A0006美瑛町,(株)アサヒ建設コンサルタント,"H20.4.21
H20.8.29"
北海道,"厚真町,",道路計画,基準点,３級,2point,助言H20.5.1A0007厚真町,ダイシン設計(株),"H20.4.26
H20.7.31"
北海道,"函館市,",土地区画整理,"基準点,平板","４級,,500","35point,0.1KM2",助言H20.5.1A0008函館市戸倉土地区画整理組合,(株)竹田測量設計,"H20.5.12
H20.8.20"
北海道,"更別村,",農道計画,基準点,３級,11point,助言H20.5.1A0009北海道十勝支庁,東和工研(株),"H20.4.26
H20.12.19"
北海道,"当別町,",土地改良,基準点,３級,1point,助言H20.5.1A0010北海道石狩支庁,明成コンサルタント(株),"H20.4.24
H20.10.20"
北海道,"秩父別町,",土地改良,基準点,３級,15point,助言H20.5.13A0011北海道空知支庁,(株)グリーン測量,"H20.5.2
H21.3.10"
北海道,"せたな町,",土地改良,基準点,３級,3point,助言H20.5.13A0012北海道檜山支庁,"内外エンジニアリング北海道
(株)","H20.4.25
H20.9.30"
北海道,"江別市,",土地改良,基準点,３級,9point,助言H20.5.16A0013北海道石狩支庁,(株)田西設計コンサル,"H20.5.12
H20.8.30"
北海道,"今金町,",河川用地,"基準点,基準点","１級,,３級","2point,1point",助言H20.5.16A0014北海道渡島支庁,道南測量設計(株),"H20.4.29
H20.7.10"
北海道,"美深町,",土地改良,"基準点,基準点","１級,,３級","2point,21point",助言H20.5.16A0015北海道上川支庁,(株)ルーラルエンジニア,"H20.5.8
H21.1.30"
北海道,"共和町,",土地改良,基準点,３級,2point,助言H20.5.16A0016北海道後志支庁,(株)香島コンサルタント,"H20.5.10
H21.2.10"
北海道,"帯広市,",土地改良,基準点,３級,8point,助言H20.5.16A0017北海道十勝支庁,(株)ズコーシャ,"H20.5.10
H21.2.20"
北海道,"浦幌町,",土地改良,"基準点,路線","３級,,","20point,2.8km",助言H20.5.16A0018北海道十勝支庁,(株)富士雄設計コンサルタント,"H20.5.10
H20.6.2"
北海道,"北斗市,",道路計画,"基準点,座標変換","２級,,２級","4point,1point",助言H20.5.16A0019函館開発建設部函館道路事務所,(株)東鵬開発,"H20.5.9
H20.6.4"
北海道,"共和町,",道路用地,基準点,３級,2point,助言H20.5.16A0020共和町,(株)極東コンサルタント,"H20.5.15
H20.7.30"
北海道,"新十津川町,",土地改良,基準点,３級,82point,助言H20.5.16A0021北海道空知支庁,(株)北開測地,"H20.5.9
H21.3.2"
北海道,"幕別町,",土地改良,基準点,３級,6point,助言H20.5.16A0022北海道十勝支庁,(株)田中測量設計,"H20.5.3
H21.2.10"
北海道,"美瑛町,",農道計画,基準点,３級,3point,助言H20.5.23A0023美瑛町,旭川設計測量(株),"H20.4.10
H20.8.29"
北海道,"剣淵町,",土地改良,基準点,３級,38point,助言H20.5.23A0024北海道上川支庁,(株)アサヒ建設コンサルタント,"H20.5.20
H20.11.28"
北海道,"せたな町,今金町,長万部町,八雲町,上ノ国町,松前町,福島町,木古内町,浦河町,様似町,えりも町,広尾町,新ひだか町,知内町,",森林計画,撮影,20000,4190KM2,助言H20.5.23A0025北海道,"北海航測(株)
アジア航測(株)","H20.6.1
H20.11.21"
北海道,"夕張市,",河川管理,基準点,３級,2point,助言H20.5.23A0026北海道札幌土木現業所,(株)北海道技術コンサルタント,"H20.3.14
H20.8.20"
北海道,"共和町,",ほ場整備,基準点,３級,1point,助言H20.5.23A0027北海道後志支庁,北海航測(株),"H20.5.15
H20.7.31"
北海道,"京極町,",土地改良,基準点,３級,6point,助言H20.5.23A0028北海道後志支庁,(株)田西設計コンサル,"H20.5.1
H21.1.20"
北海道,"千歳市,",地籍整備,基準点,３級,4point,助言H20.5.23A0029千歳市,(株)池田測量設計,"H20.5.17
H20.10.31"
北海道,"寿都町,",河川管理,基準点,３級,2point,助言H20.5.28A0030北海道後志支庁,(株)開発調査研究所,"H20.5.22
H21.2.20"
北海道,"帯広市,",土地改良,"基準点,座標変換","３級,,２級","12point,4point",助言H20.5.28A0031北海道十勝支庁,平田技術コンサルタント(株),"H20.5.20
H20.6.10"
北海道,"七飯町,",都市計画,"数値撮影,ディジタルオルソ,数値図化","20cm,,2500,,2500","357KM2,265.4KM2,48.1KM2",助言H20.6.3A0032七飯町,(株)GIS北海道,"H20.4.28
H21.3.10"
北海道,"別海町,",農道計画,"基準点,縦横断","２級,,1000","7point,3.4KM2",助言H20.5.28A0033北海道根室支庁,小林技術コンサルタント(株),"H20.5.1
H21.1.30"
北海道,"弟子屈町,",農道計画,"基準点,座標変換,平板","３級,,３級,,1000","21point,2point,0.2KM2",助言H20.5.28A0034北海道釧路支庁,山下コンサルタント(株),"H20.5.26
H21.2.20"
北海道,"中川町,音威子府村,美深町,",河川管理,"基準点,基準点","３級,,４級","15point,51point",助言H20.5.28A0035旭川開発建設部,(株)ランドプランニング,"H20.5.1
H20.10.20"
北海道,"蘭越町,",土地改良,基準点,３級,2point,助言H20.5.28A0036北海道後志支庁,(株)帝国設計事務所,"H20.5.1
H20.7.30"
北海道,"深川市,",土地改良,基準点,３級,19point,助言H20.5.28A0037北海道空知支庁,(株)ルーラルエンジニア,"H20.5.22
H21.3.19"
北海道,"壮瞥町,",道路計画,"基準点,路線",２級,"4point,1.6km",助言H20.5.28A0038北海道胆振支庁,(株)シビテック,"H20.5.22
H20.11.30"
北海道,"富良野市,",土地改良,基準点,３級,11point,助言H20.5.28A0039北海道上川支庁,北海航測(株),"H20.5.25
H20.8.31"
北海道,"中標津町,",土地改良,"基準点,縦横断","３級,,1000","6point,68.3km",助言H20.5.28A0040北海道根室支庁,山下コンサルタント(株),"H20.5.22
H21.3.19"
北海道,"富良野市,",土地改良,基準点,３級,15point,助言H20.5.28A0041北海道上川支庁,新栄コンサルタント(株),"H20.4.25
H21.2.10"
北海道,"登別市,",下水道計画,"基準点,水準","３級,,３級","3point,3point",助言H20.6.4A0042登別市,(有)サポート・プランニング,"H20.5.23
H20.9.30"
北海道,"幌延町,",道路計画,基準点,３級,1point,助言H20.5.28A0043北海道留萌支庁,小杉測量設計(株),"H20.4.25
H20.9.30"
北海道,"遠別町,",農道計画,基準点   ,３級,13point,助言H20.5.28A0044北海道留萌支庁,(株)帝国設計事務所,"H20.5.23
H21.3.10"
北海道,"別海町,",農道計画,基準点,２級,2point,助言H20.5.28A0045北海道根室支庁,(株)津村測量設計,"H20.5.23
H20.9.30"
北海道,"深川市,妹背牛町,",土地改良,基準点,３級,34point,助言H20.5.28A0046北海道空知支庁,技研測量設計(株),"H20.5.23
H21.3.19"
北海道,"由仁町,",土地改良,基準点,３級,22point,助言H20.7.16A0047北海道空知支庁,北日本技研(株),"H20.5.23
H21.1.30"
北海道,"由仁町,",土地改良,基準点,３級,26point,助言H20.5.30A0048北海道空知支庁,"(株)北海道農業建設コンサルタ
ント","H20.5.23
H20.8.29"
北海道,"富良野市,",土地改良,基準点,３級,20point,助言H20.5.30A0049北海道上川支庁,(株)香島コンサルタント,"H20.5.23
H21.2.20"
北海道,"中札内村,幕別町,",道路計画,"基準点,路線","４級,,","25point,10.3km",助言H20.6.4A0050帯広開発建設部帯広道路事務所,"北海道測量事業協同組合
(株)土木技術コンサルタント","H20.5.26
H20.12.20"
