都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,計画機関,作業機関,自至時期,
北海道,"芦別市,",道路計画,基準点,３級,2point,助言H21.4.14A0001北海道石狩支庁,ダイシン設計(株),"H21.4.11
H21.6.30",
北海道,"今金町,せたな町,",河川管理,基準点,３級,19point,助言H21.4.21A0002函館開発建設部,(株)ズコーシャ,"H21.4.8
H21.9.2",
北海道,"石狩市,当別町,江別市,北広島市,恵庭市,千歳市,長沼町,南幌町,由仁町,栗山町,",河川計画,"数値図化,数値撮影,水準","5000,,地上画素寸法19㎝,,簡級","77.5KM2,376.9KM2,38.4km",助言H21.4.21A0003石狩川開発建設部,(株)シン技術コンサル,"H21.4.7
H22.3.10",
北海道,"旭川市,",道路用地,基準点,３級,1point,助言H21.4.21A0004北海道上川支庁,(株)協和コンサルタント,"H21.4.11
H21.8.20",
北海道,"歌志内市,",地すべり対,基準点,３級,2point,助言H21.4.21A0005北海道石狩支庁,和光技研(株),"H21.4.20
H21.5.20",
北海道,"弟子屈町,",河川管理,"基準点,水準","３級,,３級","80point,16km",助言H21.4.21A0006釧路開発建設部,東邦コンサルタント(株),"H21.4.15
H21.11.17",
北海道,"標津町,中標津町,",河川管理,"撮影,数値図化","12500,,2500","60KM2,30.2KM2",助言H21.4.21A0007釧路開発建設部,日測技研(株),"H21.3.13
H21.11.17",
北海道,"黒松内町,",河川計画,"基準点,基準点","１級,,３級","1point,2point",助言H21.4.22A0008北海道後志支庁,(株)アイネス,"H21.3.13
H21.7.30",
北海道,"音威子府村,",河川管理,"基準点,基準点","１級,,２級","1point,3point",助言H21.4.22A0009旭川開発建設部,(株)タナカコンサルタント,"H21.3.5
H21.9.30",
北海道,"上川町,",道路用地,"基準点,基準点,路線","３級,,４級","4point,93point,3.6km",助言H21.4.24A0010旭川開発建設部,(株)イズム・グリーン,"H21.4.21
H21.6.16",
北海道,"日高町,平取町,",河川管理,基準点,２級,18point,助言H21.4.30A0011室蘭開発建設部,(株)渡辺測量,"H21.4.24
H21.12.21",
北海道,"豊頃町,本別町,芽室町,池田町,",河川管理,"基準点,基準点","１級,,２級","6point,2point",助言H21.4.30A0012帯広開発建設部,北海道測量事業協同組合,"H21.4.22
H21.11.11",
北海道,"美瑛町,",道路計画,基準点,３級,2point,助言H21.4.30A0013美瑛町,新栄コンサルタント(株),"H21.4.27
H21.7.30",
北海道,"美瑛町,",農道計画,基準点,３級,1point,助言H21.4.30A0014美瑛町,旭川設計測量(株),"H21.4.17
H21.8.10",
北海道,"帯広市,",砂防計画,"撮影,数値図化","12500,,2500","100KM2,53.8KM2",助言H21.4.30A0015帯広開発建設部,日測技研(株),"H21.4.1
H22.3.31",
北海道,"長万部町,",河川台帳,"数値撮影,ディジタルオルソ","地上画素寸法25㎝,,2500","310.8KM2,310.8KM2",助言H21.5.8A0016長万部町,(株)シン技術コンサル,"H21.4.25
H22.3.19",
北海道,"石狩市,",防雪実験,"基準点,路線","４級,,","27point,0.7km","助言H21.5.8A0017(独)土木研究所寒地土木研究
所","(株)タケカワ総合コンサルタ
ント","H21.4.21
H21.6.30",
