都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,測量計画機関（助言番号）,測量作業機関,実施時期
北海道,"旭川市,",その他,復旧測量(基準点),街区多角点,1point,"北海道旭川市 
助言　　　H27.4.9  A0001","株式会社ダイイチプラニ
ング","H27.2.6 
H27.5.31"
北海道,"旭川市,",その他,復旧測量(基準点),街区多角点,1point,"北海道旭川市 
助言　　　H27.4.9  A0002","株式会社ダイイチプラニ
ング","H27.1.6 
H27.5.29"
北海道,"平取町,",その他,航空レーザ測量,1000,157.8KM2,"北海道平取町 
助言　　　H27.4.17  A0003",北海航測株式会社,"H27.4.1 
H27.12.30"
北海道,"当別町,",その他,数値図化,2500,118.998KM2,"北海道当別町 
助言　　　H27.4.17  A0004","株式会社シン技術コンサ
ル","H27.4.14 
H28.3.21"
北海道,"新篠津村,",その他,"数値撮影(デジタル),同時調整,写真地図作成(デジタルオルソ)","20,,2500,,2500","114.32KM2,114.32KM2,78.24KM2","北海道新篠津村 
助言　　　H27.4.24  A0005","株式会社シン技術コンサ
ル","H27.4.20 
H28.10.31"
北海道,"枝幸町,",その他,"数値撮影(デジタル),写真地図作成(デジタルオルソ)","25,,2500","1060.25KM2,653.1KM2","北海道枝幸町 
助言　　　H27.5.8  A0006","株式会社シン技術コンサ
ル","H27.5.11 
H27.12.21"
北海道,"北斗市,七飯町,",その他,基準点測量,３級,3point,"北海道渡島総合振興局 
助言　　　H27.5.12  A0007","株式会社田西設計コン
サル","H27.5.18 
H27.10.10"
北海道,"旭川市,",その他,復旧測量(基準点),街区三角点,1point,"北海道旭川市 
助言　　　H27.5.13  A0008","株式会社三共コンサルタ
ント","H27.5.11 
H27.8.31"
北海道,"枝幸町,",その他,"基準点測量,基準点測量","２級,,３級","2point,1point","北海道枝幸町 
助言　　　H27.5.14  A0009","株式会社グローバルサ
ポート","H27.5.12 
H27.8.31"
北海道,"鷹栖町,",その他,基準点測量,２級,2point,"北海道開発局旭川開発建設部 
助言　　　H27.5.14  A0010",株式会社ヒロノ測建,"H27.5.13 
H27.9.4"
北海道,"釧路市,",その他,数値図化,5000,72.7KM2,"北海道開発局釧路開発建設部 
助言　　　H27.5.14  A0011",株式会社パスコ,"H27.4.17 
H27.10.15"
北海道,"平取町,",その他,基準点測量,３級,3point,"北海道平取町 
助言　　　H27.5.15  A0012","株式会社タナカコンサル
タント","H27.5.1 
H27.9.30"
北海道,"当麻町,",その他,基準点測量,２級,3point,"北海道開発局旭川開発建設部 
助言　　　H27.5.15  A0013","株式会社協和コンサルタ
ント","H27.5.14 
H27.10.13"
北海道,"登別市,",その他,"基準点測量,基準点測量","１級,,３級","1point,2point","北海道胆振総合振興局 
助言　　　H27.5.18  A0014",株式会社胆振,"H27.5.15 
H27.8.31"
北海道,"音更町,",その他,基準点測量,３級,6point,"北海道十勝総合振興局 
助言　　　H27.5.18  A0015",東和工研株式会社,"H27.5.15 
H27.12.10"
北海道,"仁木町,共和町,",その他,"基準点測量,基準点測量","２級,,１級","42point,1point","北海道開発局小樽開発建設部 
助言　　　H27.5.20  A0016","スミセキ・ジオテクノ株式
会社","H27.4.16 
H27.8.28"
北海道,"根室市,",その他,"航空レーザ測量,航空レーザ測量","1000,,2500","40.7KM2,405.9KM2","北海道根室市 
助言　　　H27.5.25  A0017",北海航測株式会社,"H27.5.1 
H28.3.31"
北海道,"八雲町,",その他,基準点測量,２級,3point,"北海道渡島総合振興局 
助言　　　H27.5.22  A0018",臥牛測量設計株式会社,"H27.5.20 
H27.9.30"
北海道,"長万部町,",その他,"基準点測量,基準点測量","３級,,４級","2point,12point","北海道長万部町 
助言　　　H27.5.22  A0019",株式会社ノース技研,"H27.5.20 
H27.9.30"
