都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,計画機関,作業機関,実施時期,付図番号
北海道,弟子屈町,道路台帳,"撮影,写測","8000,,1000","300.0KM2,28.0KM2",弟子屈町,東邦測量,"54.1.1,54.12.5",1
北海道,尻岸内町,都市計画,"撮影,写測","12500,,2500","38.0KM2,38.0KM2",尻岸内町,"北海道,マイクロ写真","54.4.20,54.8.20",2
北海道,網走市,森林計画,写測,5000,50.0KM2,北見営林支局,アジア航測,"54.7.1,54.10.31",44
北海道,上川町,道路台帳,"撮影,写測","8000,,1000","280.0KM2,5.7KM2",上川町,アジア航測,"54.4,54.9.30",46
北海道,"岩見沢市,三笠市,美唄市,奈井江町,砂川市,滝川市",道路計画,路線,,46.9km,日本道路公団札幌建設局,"サンコウコンサルタント,大日コンサルタント,アジア航測,(株)オオバ,パシフック航業","54.5.20,55.3.31",
北海道,広島町,道路台帳,"撮影,写測","8000,,1000","121.0KM2,22.4KM2",広島町,シン航空写真,"54.4.27,55.3.30",55
北海道,"新得町,清水町,鹿追町,音更町,士幌町,上士幌町,帯広市,芽室町,中札内村,更別村,幕別町,豊頃町,忠類村",森林計画,撮影,20000,2660.0KM2,北海道,北海道航空,"54.4.28,54.7.31",87
北海道,"新得町,清水町,鹿追町,音更町,士幌町,上士幌町,帯広市,芽室町,中札内村,更別村,幕別町,豊頃町,忠類村",森林計画,空三,,565model,北海道,"国際航業,パシフイック航業,東洋航空事業,中庭測量","54.4.28,54.7.31",
北海道,厚岸町,道路台帳,"撮影,写測","8000,,1000","30.0KM2,27.0KM2",厚岸町,東邦測量,"53.12.23,55.3.31",106
北海道,網走市,都市計画,"撮影,写測","12500,,2500","90.0KM2,24.9KM2",網走市,シン航空写真,"54.5.9,54.9.25",107
北海道,"中川町,比布町,南富良野町",道路調査,"撮影,写測","8000,,1000","86.4KM2,4.3KM2",旭川開発建設部,八州測量,"54.6,54.9",108
北海道,,国有林野管理経営,"境界,図根",",,","44.0km,12point",旭川営林支局,自営,"54.6.1,54.11.30",
北海道,"白糠町,弟子屈町,中標津町,音更町",国有林野管理経営,"境界,図根",",,","68.0km,6point",帯広営林支局,自営,"54.5.1,54.11.1",
北海道,蘭越町,道路台帳,"撮影,写測","8000,,1000","330.0KM2,18.0KM2",蘭越町,"国際道測,共同企業体","54.5.10,55.2.29",128
北海道,東神楽町,道路台帳,"撮影,撮影,写測,写測","4000,,8000,,500,,1000","10.8KM2,162.0KM2,1.6KM2,25.1KM2",東神楽町,アジア航測,"54.6.1,55.3.31",148
