都道府県名,測量地域,測量目的,測量種別,縮尺,事業量,計画機関,実施機関,作業期間,付図番号
北海道,釧路市,港湾管理,基準点,,12point,釧路開発建設部,北海道測量事業協同組合,"56.6.12,56.9.30",
北海道,斜里町,土地改良,基準点,,4point,網走開発建設部,サン測量設計社,"56.9.7,56.10.20",
北海道,別海町,国有地境界測量,基準点,,7point,北海道農地開発部,"矢本測量,香島測量設計事務所","56.9.19,56.11.19",
北海道,夕張市,林野整備,基準点,,11point,北海道営林局,自営,"56.5.15,56.10.15",
北海道,稚内市,林野経営,基準点,,13point,旭川営林支局,自営,"56.5.10,56.11.30",
北海道,"鶴居村,弟子屈町,別海町,羅臼町",境界調査,基準点,,8point,帯広営林支局,自営,"56.6.1,56.10.31",
北海道,北見市,土地改良,水準,,6.0km,網走開発建設部,三和航測,"56.5.29,56.7.27",
北海道,置戸町,土地改良,水準,,4.4km,網走開発建設部,東洋航空事業,"56.5.29,56.7.27",
北海道,天塩町,土地改良,水準,,5.9km,留萌開発建設部,日本グラウト工業,"56.9.28,56.10.17",
北海道,,地盤沈下,水準,,95.0km,北海道,大東測地,"56.9.21,56.12.19",665
北海道,札幌市,地盤沈下,水準,,180.0km,札幌市,大東測地,"56.9.7,56.12.7",658
北海道,帯広市,地盤沈下,水準,,24.0km,帯広市,大東測地,"56.10.20,56.11.30",663
北海道,"滝川市,深川市,旭川市,鷹栖町",道路計画,縦横断,,43.5km,日本道路公団札幌建設局,大日コンサルタント,"56.5.15,57.3.31",
北海道,"名寄市,士別市,ニセコ町,夕張市",森林計画,撮影,20000,5397.0KM2,北海道林務部,"北海道航空,東北測量","56.5.26,56.10.24",249
北海道,帯広市,道路台帳,"撮影,撮影,図化,図化","4000,,8000,,500,,1000","80.0KM2,383.0KM2,6.2KM2,5.2KM2",帯広市,国際航業,"56.6.10,58.3.20",236
北海道,網走市,道路台帳,"撮影,撮影,図化,図化","4000,,8000,,500,,1000","45.7KM2,299.0KM2,10.0KM2,15.6KM2",網走市,東洋航空事業,"56.8.1,57.3.20",558
北海道,函館市,取水場計画,"撮影,図化","4000,,500","2.9KM2,1.0KM2",函館市水道局,シン航空写真,"56.10.1,57.1.30",
北海道,和寒町,道路台帳,"撮影,撮影,図化,図化","4000,,8000,,500,,1000","3.8KM2,221.0KM2,2.6KM2,15.8KM2",和寒町,シン航空写真,"56.6.1,57.3.20",243
北海道,小清水町,土地改良,"撮影,図化","5000,,1000","39.6KM2,0.8KM2",網走開発建設部,東洋航空事業,"56.5.11,56.12.5",157
北海道,沼田町,ダム計画,"撮影,図化","7000,,1000","9.8KM2,0.7KM2",札幌開発建設部,東洋航空事業,"56.8.16,56.10.17",
北海道,函館市,道路計画,"撮影,図化","8000,,1000","9.5KM2,1.4KM2",函館開発建設部,三和航測,"56.6.26,56.8.31",
北海道,"函館市,戸井町,上磯町,知内町",道路計画,"撮影,図化,図化","8000,,1000,,2500","38.8KM2,3.5KM2,5.0KM2",函館開発建設部,"シン航空写真,パシフイック航業","56.7.18,56.11.14",
北海道,増毛町,道路計画,"撮影,図化","8000,,1000","9.5KM2,1.6KM2",留萌開発建設部,パシフイック航業,"56.7.11,56.10.30",
北海道,稚内市,道路計画,"撮影,図化","8000,,1000","6.8KM2,0.5KM2",稚内開発建設部,三和航測,"56.6.18,56.8.24",250
北海道,釧路町,道路台帳,"撮影,図化","8000,,1000","350.0KM2,22.0KM2",釧路町,東邦測量,"56.4.15,56.12.20",150
北海道,大野町,道路台帳,"撮影,図化","8000,,1000","180.0KM2,10.4KM2",大野町,パシフイック航業,"56.4.30,57.3.31",152
北海道,雨竜町,道路台帳,"撮影,図化","8000,,1000","112.0KM2,12.5KM2",雨竜町,アジア航測,"56.8.1,56.12.25",470
北海道,松前町,道路台帳,"撮影,図化","8000,,1000","147.0KM2,12.0KM2",松前町,シン航空写真,"56.8.27,57.10.31",661
北海道,厚真町,道路台帳,"撮影,図化","8000,,1000","355.5KM2,11.8KM2",厚真町,東洋航空事業,"56.11.20,59.2.28",1137
北海道,西興部村,道路台帳,"撮影,図化","8000,,1000","159.6KM2,4.8KM2",西興部村,東洋航空事業,"56.8.12,57.3.20",560
北海道,函館市,鉄道計画,"撮影,図化","8000,,1000","130.6KM2,17.3KM2",日本国有鉄道札幌工事局,"パシフイック航業,東日本航空,アジア航測,国際航業,東洋航空事業","56.11.24,57.3.28",
北海道,岩見沢市,排水事業,"撮影,図化","10000,,2000","19.8KM2,2.0KM2",札幌開発建設部,北海航測,"56.6.29,56.9.19",349
北海道,天塩町,国営土地改良事業,"撮影,図化,図化","10000,,2000,,5000","24.0KM2,1.8KM2,8.1KM2",留萌開発建設部,東洋航空事業,"56.9.26,57.1.20",870
北海道,静内町,道路計画,"撮影,図化","12500,,2500","38.1KM2,9.4KM2",室蘭開発建設部,シン航空写真,"56.5.9,56.7.31",235
北海道,三石町,都市計画,"撮影,図化","12500,,2500","26.4KM2,5.5KM2",室蘭開発建設部,パシフイック航業,"56.8.1,56.10.2",559
北海道,,河川計画,"撮影,図化","12500,,2500","38.0KM2,8.5KM2",石狩川開発建設部,三和航測,"56.7.18,56.10.23",
北海道,美瑛町,砂防計画,"撮影,図化","12500,,2500","46.2KM2,8.0KM2",旭川開発建設部,東日本航空,"56.8.15,56.11.30",467
