都道府県名,測量地域,測量目的,測量種別,等級・縮尺,事業量,計画機関,実施機関,作業期間,付図番号
北海道,根室市,道路計画,基準点,2級,2point,釧路開発建設部,北海道測量事業協同組合,"57.10.15,57.12.20",
北海道,鶴居村,道路計画,基準点,2級,2point,釧路開発建設部,北海道測量事業協同組合,"57.10.15,57.11.30",
北海道,別海村,道路計画,基準点,2級,1point,釧路開発建設部,北海道測量事業協同組合,"57.10.15,57.11.20",
北海道,"登別市,室蘭市",境界調査,基準点,2級,2point,登別市,八州,"57.10.13,57.11.15",
北海道,夕張市,ダム計画,基準点,2級,10point,札幌開発建設部,大東測地,"57.11.15,57.12.30",
北海道,"美唄市,奈井江町",都市計画,"基準点,水準","2級,,3級","11point,13.0km",地域振興整備公団北海道支部,日鉄鉱コンサルタント,"57.10.5,57.12.18",
北海道,別海町,国有地の境界調査,"基準点,基準点","3級,,4級","4point,12point",北海道農地開発部,三砂測量設計,"57.7.28,57.10.1",
北海道,"別海町,旭川市",国有地の境界調査,"基準点,基準点","3級,,4級","34point,168point",北海道農地開発部,矢本測量他4社,"57.6.25,57.11.22",
北海道,"石狩町,当別町,江別市",地盤沈下,水準,1級,95.0km,北海道,大東測地,"57.9.21,57.12.19",692
北海道,札幌市,地盤沈下,水準,1級,250.0km,札幌市,"大東測地,中田測量","57.9.13,57.12.13",691
北海道,深川市,道路計画,縦横断,,32.2km,日本道路公団札幌建設局,"オオバ,大日コンサルタント","57.5.10,58.3.31",
北海道,網走市,農地開発,"撮影(対標有),撮影(対標有)","5000,,20000","148.0KM2,298.9KM2",網走開発建設部,朝日航洋,"57.9.11,57.12.9",885
北海道,"島牧村,黒松内町",農地開発,撮影,7000,17.0KM2,小樽開発建設部,三和航測,"57.8.5,57.10.30",576
北海道,南富良野町,道路雪害対策調査,撮影,8000,9.5KM2,旭川開発建設部,パシフイック航業,"57.12.18,58.3.10",1082
北海道,札幌市,作付調査,撮影,10000,82.0KM2,農林水産省経済局統計情報部,アジア航測,"57.6.28,58.3.25",215
北海道,白滝村,土地改良,"撮影(対標有),撮影(対標有)","10000,,25000","13.8KM2,211.1KM2",網走開発建設部,三和航測,"57.9.18,57.11.1",693
北海道,"旭川市,北見市,夕張市,帯広市,函館市",森林調査,"撮影,撮影","16000,,20000","5141.0KM2,2619.0KM2",林野庁,"東洋航空事業,パシフイック航業,東日本航空,八州","57.5.31,57.10.31",214
北海道,,森林計画,撮影,20000,1089.0KM2,北海道林務部,東北測量,"57.5.28,57.9.30",273
北海道,"網走市,上川町",森林計画,撮影,20000,6021.0KM2,北海道林務部,"八州,北海道航空","57.5.28,57.9.30",274
北海道,,農地開発,"撮影,撮影,撮影,図化,図化,図化","4000,,8000,,10000,,500,,1000,,2000","4.1KM2,36.7KM2,22.2KM2,0.3KM2,1.2KM2,2.5KM2",帯広開発建設部,朝日航洋,"57.10.12,57.12.20",894
北海道,"余市町,仁木町,赤井川村,共和町",土地改良,"撮影,撮影,図化,図化,図化","4000,,12000,,1000,,2000,,5000","1.4KM2,15.2KM2,1.5KM2,0.6KM2,23.4KM2",小樽建設開発部,三和航測,"57.5.28,57.10.30",275
北海道,南茅部町,道路台帳,"撮影,撮影,図化,図化","4000,,8000,,500,,1000","21.4KM2,137.8KM2,1.0KM2,3.2KM2",南茅部町,パシフイック航業,"57.5.1,58.2.20",2
北海道,剣淵町,道路台帳,"撮影,撮影,図化,図化","4000,,8000,,500,,1000","9.2KM2,110.0KM2,1.9KM2,12.8KM2",剣淵町,極東陸地測量,"57.5.6,57.12.25",153
北海道,上磯町,道路台帳,"撮影,撮影,図化,図化","4000,,8000,,500,,1000","13.4KM2,24.7KM2,2.4KM2,2.6KM2",上磯町,パシフイック航業,"57.5.10,57.9.20",161
北海道,芽室町,都市計画,"撮影,撮影,図化,図化","4000,,8000,,1000,,2500","6.1KM2,46.4KM2,3.7KM2,19.9KM2",芽室町,シン航空写真,"57.5.28,57.11.30",280
北海道,"斜里町,清里町,小清水町",土地改良,"撮影,撮影,図化","5000,,20000,,1000","271.7KM2,478.1KM2,3.2KM2",網走開発建設部,東洋航空事業,"57.5.1,57.9.27",157
北海道,根室市,道路計画,"撮影,図化","8000,,1000","9.0KM2,0.8KM2",釧路開発建設部,八州,"57.7.1,57.12.10",281
北海道,稚内市,道路計画,"撮影,図化","8000,,1000","9.6KM2,0.9KM2",稚内開発建設部,シン航空写真,"57.6.12,57.8.30",290
北海道,上川町,砂防計画,"撮影,図化","8000,,1000","9.5KM2,5.4KM2",旭川開発建設部,三和航測,"57.9.11,58.1.20",888
