都道府県名,測量地域,測量目的,測量種別,等級・縮尺,事業量,計画機関,実施機関,作業期間,付図番号
北海道,"東川町,美瑛町,東神楽町",ダム計画,基準点,2級,7point,旭川開発建設部,大東測地,"58.6.10,58.8.30",
北海道,"標茶町,共和町",開拓計画,"基準点,基準点,平板","3級,,4級,,2500","56point,215point,1.7KM2",北海道農地開発部,矢本測量他5社,"58.6.15,58.11.21",
北海道,"別海町,旭川市",確定測量,"基準点,基準点","3級,,4級","12point,37point",北海道農地開発部,北王コンサルタント他2社,"58.7.16,58.10.14",
北海道,上士幌町,道路計画,基準点,3級,1point,帯広開発建設部,土木技術コンサルタント,"58.8.22,58.9.20",
北海道,"標津町,別海村,弟子屈町,鶴居村,陸別町",森林調査,基準点,4級,65.1km,帯広営林支局,自営,"58.6.1,58.10.15",
北海道,稚内市,森林計画,基準点,4級,15point,旭川営林支局,自営,"58.6.1,58.10.18",
北海道,"札幌市,岩見沢市,日高町,余市町",森林計画,基準点,4級,4point,北海道営林局,自営,"58.5.23,58.10.14",
北海道,札幌市,地盤沈下,水準,1級,143.0km,札幌市,大東地測,"58.9.16,58.12.16",720
北海道,"石狩町,当別町,江別市",地盤沈下,水準,1級,96.0km,北海道,大東地測,"58.9.26,58.12.24",722
北海道,"虻田町,伊達市,室蘭市,登別市,深川市",道路計画,路線,,43.9km,日本道路公団札幌建設局,アジア航測,"58.5.10,59.3.31",
北海道,室蘭市,道路計画,"撮影,図化","4000,,500","5.4KM2,0.8KM2",室蘭開発建設部,月測技研,"58.9.20,58.12.20",719
北海道,七飯町,農地開発,"撮影,図化","5000,,1000","88.0KM2,4.7KM2",函館開発建設部,朝日航洋,"58.10.1,58.12.20",723
北海道,赤平市,道路計画,"撮影,図化","8000,,1000","15.0KM2,1.0KM2",札幌開発建設部,パスコ,"58.8.1,58.11.30",603
北海道,"遠別町,苫前町,小平町",道路計画,"撮影,撮影,図化,図化,図化","8000,,25000,,1000,,2500,,5000","25.8KM2,66.1KM2,0.6KM2,0.3KM2,10.9KM2",留萌開発建設部,パスコ,"58.5.18,58.9.30",597
北海道,"足寄町,大樹町",道路計画,"撮影,撮影,図化,図化","8000,,12500,,1000,,2000","8.2KM2,16.5KM2,0.5KM2,1.8KM2",帯広開発建設部,パスコ,"58.6.16,58.8.30",589
北海道,"稚内市,猿払村",道路計画,"撮影,図化","8000,,1000","13.3KM2,1.5KM2",稚内開発建設部,シン航空写真,"58.6.11,58.8.31",598
北海道,上士幌町,道路計画,"撮影,図化","8000,,1000","6.8KM2,0.8KM2",帯広開発建設部,シン航空写真,"58.7.9,58.9.30",611
北海道,浦臼町,道路台撮,"撮影,図化","8000,,1000","107.6KM2,15.6KM2",浦臼町,アトラス航測,"58.4.9,59.1.31",577
北海道,神恵内村,道路台帳,"撮影,図化","8000,,1000","126.0KM2,6.0KM2",神恵内村,東日本航空,"58.9.7,59.3.31",724
北海道,中頓別町,土地改良,"撮影(対標有),撮影(対標有)","8000,,25000","10.0KM2,192.0KM2",稚内開発建設部,朝日航洋,"58.10.17,58.11.30",873
北海道,"白滝村,丸瀬布町",土地改良,"撮影,撮影,図化","10000,,25000,,2000","6.5KM2,132.3KM2,0.8KM2",網走開発建設部,三和航測,"58.8.29,58.9.30",625
北海道,標茶町,都市計画,"撮影,図化","12500,,2500","23.1KM2,6.4KM2",標茶町,パスコ,"58.8.19,59.3.15",624
北海道,上湧別町,都市計画,"撮影,図化","12500,,2500","46.3KM2,9.2KM2",上湧別町,三和航測,"58.11.5,59.1.15",1112
北海道,広島町,都市計画,"撮影,図化修正","12500,,2500","57.6KM2,21.5KM2",広島町,シン航空写真,"58.10.25,59.3.8",874
北海道,"旭川市,鷹栖町",河川改修,"撮影,図化","12500,,2500","128.8KM2,26.0KM2",旭川開発建設部,"シン航空写真,三和航測","58.5.16,58.10.31",575
北海道,"中川町,音威子府村,美深町",河川改修,"撮影,図化","12500,,2500","202.9KM2,89.0KM2",旭川開発建設部,日測技研他1社,"58.5.16,58.10.31",576
北海道,浦幌町,河川改修,撮影,12500,78.0KM2,帯広開発建設部,シン航空写真,"58.4.29,59.1.31",584
北海道,稚内市,河川計画,"撮影,図化","12500,,2500","172.8KM2,12.1KM2",稚内開発建設部,三和航測,"58.5.25,58.9.20",591
北海道,"美唄市,江別市,南幌町",治水計画,"撮影,撮影,図化,図化","12500,,8000,,2500,,1000","34.9KM2,34.0KM2,42.0KM2,2.4KM2",石狩川開発建設部,三和航測,"58.6.11,58.11.30",604
北海道,上ノ国町,ダム計画,"撮影,図化","12500,,2500","20.1KM2,2.5KM2",函館土木現業所,北電興業,"58.10.3,59.3.10",872
北海道,"雄武町,興部町,西興部村,枝幸町,下川町,美深町",森林計画,撮影,16000,1000.0KM2,北海道林務部,北海道航空,"58.5.24,58.9.30",585
北海道,"中札内村,倶知安町",電源開発,"撮影,図化","20000,,5000","84.0KM2,12.1KM2",新エネルギー財団水力本部,アジア航測,"58.9.16,59.3.10",871
北海道,"長万部町,函館市,えりも町",森林計画,撮影,20000,3297.0KM2,北海道林務部,"北海道航空,東日本航空,パスコ","58.5.24,58.10.31",586
北海道,瀬棚町,発電水力調査,"撮影,図化","20000,,5000","42.3KM2,3.2KM2","通産省資源エネルギー庁,公益事業部",アジア航測,"58.8.25,58.10.31",540
北海道,"佐呂間町,湧別町",農地開発,"撮影,図化","25000,,5000","158.7KM2,7.2KM2",網走開発建設部,日測技研,"58.6.6,58.8.12",592
北海道,釧路市,道路台帳,図化,500,54.0KM2,釧路市,東邦コンサルタント,"58.7.25,59.3.26",605
北海道,南茅部町,道路計画,図化,1000,2.2KM2,函館開発建設部,シン航空写真,"58.9.16,58.11.16",
北海道,"芦別市,幌加内町",道路計画,"図化,図化","1000,,2500","1.8KM2,4.1KM2",札幌開発建設部,八州(他1社),"58.7.20,58.11.30",
北海道,斜里町,道路計画,図化,1000,0.5KM2,網走開発建設部,パスコ,"58.5.26,58.9.5",
北海道,東藻琴村,道路計画,図化,1000,0.5KM2,網走開発建設部,国際航業,"58.6.30,58.9.27",
北海道,今金町,道路計画,図化,1000,0.7KM2,函館開発建設部,八州,"58.9.1,58.10.31",
北海道,上磯町,道路計画,図化,1000,1.1KM2,函館開発建設部,パスコ,"58.1.10,58.11.16",
北海道,,道路計画,図化,1000,0.8KM2,旭川開発建設部,八州,"58.8.27,59.1.30",
北海道,幌加内町,農地開発,図化,1000,8.0KM2,札幌開発建設部,朝日航洋,"58.6.4,58.9.30",594
北海道,"島牧村,黒松内町",農地開発,"図化,図化","1000,,5000","0.8KM2,2.8KM2",小樽開発建設部,パスコ,"58.7.29,58.10.31",
北海道,恵庭市,砂防計画,図化,1000,3.3KM2,恵庭市,ロイヤル測量設計,"58.8.10,58.11.30",
北海道,稚内市,道路計画,図化,2500,5.5KM2,稚内開発建設部,パスコ,"58.6.10,58.8.31",
北海道,蘭越町,河川改修,図化,2500,16.5KM2,小樽開発建設部,東日本航空,"58.5.13,58.9.20",
北海道,"常呂町,端野町",河川改修,図化,2500,40.6KM2,網走開発建設部,日測技研,"58.7.9,58.12.5",613
北海道,"女満別町,美幌町",河川改修,図化,2500,24.9KM2,網走開発建設部,三和航測,"58.7.15,58.11.21",614
北海道,東藻琴村,農地開発,図化,5000,21.0KM2,網走開発建設部,朝日航洋,"58.5.28,58.8.25",590
北海道,浦幌町,農地開発,図化,5000,31.9KM2,帯広開発建設部,"三和航測,アジア航測","58.9.3,58.11.22",
北海道,"京極町,倶知安町",農地開発,図化,5000,31.1KM2,小樽開発建設部,日測技研,"58.7.15,58.11.22",610
北海道,登別市,農地開発,図化,5000,5.0KM2,北海道農務部,ロイヤル測量設計,"58.7.20,58.10.30",608
北海道,標茶町,農地開発,図化,5000,15.5KM2,釧路開発建設部,北海道測量事業協合組合,"58.6.3,58.8.5",628
北海道,広尾町,農地開発,図化,5000,15.0KM2,帯広開発建設部,北海航測,"58.9.10,58.11.30",623
北海道,"厚真町,鵡川町,追分町",農地開発,図化,5000,19.0KM2,室蘭開発建設部,朝日航洋,"58.7.16,58.8.30",620
北海道,"小清水町,清里町",土地改良,図化,5000,185.0KM2,網走開発建設部,朝日航洋,"58.5.28,58.9.24",596
