都道府県名,測量地域,測量目的,測量種別,等級・縮尺,事業量,計画機関,作業機関,実施時期,附図番号
北海道,"石狩町,",石狩町公共基準点測量,基準点,1級,57point,北海道石狩町,(株)パスコ590803A0923,"59.07.25,60.02.28",590441
北海道,"尻岸内町,椴法華村,",尻岸内町椴法華村行政区画確定,"基準点,基準点","1級,,3級","3point,4point",北海道尻岸内町,大東測地(株)591030A1384,"59.10.29,59.11.30",
北海道,"登別市,",区画整理事業,基準点,2級,0.4KM2,北海道登別市,昭和測量工業(株)590803A0959,"59.08.01,59.08.31",
北海道,"室蘭市,",道路台帳,基準点,2級,10.6KM2,北海道室蘭市,(株)八州590605A0638,"59.05.10,59.11.30",
北海道,"札幌市,",道路台帳,基準点,2級,10point,北海道札幌市,大東測地(株)590723A0891,"59.07.20,59.09.30",
北海道,"厚岸町,釧路町,",道路用地確定二級基準点測量,基準点,2級,2point,釧路開発建設部,北海道測量事業協同組合590831A1090,"59.08.25,59.09.20",
北海道,"標茶町,鶴居村,",道路計画(道道標茶上茶路線),基準点,2級,1point,釧路開発建設部,北海道測量事業協同組合590904A1107,"59.09.03,59.11.19",
北海道,"白糠町,浦幌町,本別町,",道路計画国道392号白糠地区,基準点,2級,2point,釧路開発建設部,北海道測量事業協同組合591006A1242,"59.10.08,59.12.20",
北海道,"標茶町,",道路計画,基準点,2級,2point,釧路開発建設部,東邦測量(株)591217A1661,"59.12.10,60.01.18",
北海道,"紋別市,",河川改修計画(渚滑川上流),基準点,2級,2point,網走開発建設部,(有)土木開発センター590510A0517,"59.06.23,59.11.19",
北海道,"函館市,大野町,","境界の測量,(開拓財産)","基準点,基準点,平板","3級,,4級,,2500","7point,10point,0.1KM2",北海道渡島支庁,"臥牛測量(株),北海航測(株)590622A0753","59.06.20,59.10.02",
北海道,"共和町,","境界の測量,(開拓財産)","基準点,基準点,平板","3級,,4級,,2500","11point,24point,21.0KM2",北海道後志支庁,北王コンサルタント(株)590712A0820,"59.06.21,59.09.18",
北海道,"赤井川村,","境界の測量,(開拓財産)","基準点,基準点,平板","3級,,4級,,2500","7point,18point,27.8KM2",北海道後志支庁,"北海道パブリックコンサルタント(株),北海航測(株)590712A0822","59.06.21,59.09.18",
北海道,"共和町,","境界の測量,(開拓財産)","基準点,基準点,平板","3級,,4級,,2500","4point,3point,0.8KM2",北海道後志支庁,東邦測量(株)590712A0821,"59.06.21,59.08.09",
北海道,"白糠町,","境界の測量,(開拓財産)","基準点,基準点,平板","3級,,4級,,2500","15point,84point,1.1KM2",北海道釧路支庁,"(株)矢本測量,東邦測量(株),山下測量(株),ロイヤル測量設計(株),(株)香島測量設計事務所590625A0735","59.06.20,59.10.19",
北海道,"別海町,","境界の測量,(開拓財産)","基準点,平板","3級,,2500","11point,0.3KM2",北海道根室支庁,"(有)小林測量設計事務所,三砂測量設計(株)590706A0807","59.06.29,59.11.05",
北海道,"砂原町,",道路台帳補正業務,"基準点,写測図化","3級,,1000","11point,14.0km",北海道砂原町,ユニオンデーターシステム(株)600222A0139,"59.12.01,60.02.25",
北海道,"標津町,別海町,弟子屈町,鶴居村,陸別町,",国有林境界基本図作成,"基準点,平板","簡級,,5000","50.0km,41.0KM2",帯広営林支局,直営590518A0528,"59.05.31,59.09.30",
北海道,"帯広市,",地盤変動調査,水準,1級,24.0km,北海道帯広市,(株)北海道測量図工社590912A1132,"59.09.20,59.11.10",590756
北海道,"江別市,当別町,石狩町,",地盤変動調査,水準,1級,96.0km,北海道石狩支庁,大東測地(株)590917A1143,"59.09.25,59.12.22",590784
北海道,"札幌市,",地盤変動調査,水準,1級,170.0KM2,北海道札幌市,"大東測地(株),(株)中田測量590921A1192","59.09.20,59.12.20",590804
北海道,"美瑛町,上富良野町,中富良野町,",土地改良,"水準,撮影,写測図化","3級,,5000,,1000","110.0km,293.0KM2,2.0KM2",旭川開発建設部,北海航測(株)590518A0527,"59.05.15,59.10.31",590196
