都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,計画機関,作業機関,実施時期,附図番号
北海道,"札幌市,",都市計画(公共基準点・復旧),基準点,1級,3point,北海道札幌市助言611128A0639,大東測地(株),"61.11.22,61.12.16",
北海道,"北見市,",道路計画(北陽地区),"基準点,基準点","1級,,3級","2point,6point",網走開発建設部助言610719A0281,北路産業(株),"61.06.20,61.08.31",
北海道,"清水町,芽室町,音更町,",道路計画,"基準点,水準","2級,,3級","47point,49point",日本道路公団札幌建設局帯広工事事務所助言611017A0491,"大東測量設計(株),(株)ダイヤコンサルタント,サンコーコンサルタント(株),日本工営(株),(株)帝国コンサルタント,下国工業コンサルタント(株)","61.09.30,61.12.28",
北海道,"音更町,池田町,",道路計画,"基準点,水準","2級,,3級","7point,7point",日本道路公団札幌建設局帯広工事事務所助言611017A0501,"(株)オオバ,中央開発(株)","61.10.10,61.12.28",
北海道,"倶知安町,",道路計画,"基準点,水準","2級,,2級","8point,9point",小樽開発建設部助言611017A0481,サンコーコンサルタント(株),"61.09.20,61.11.20",
北海道,"音別町,",河川計画(音別川川東築堤),基準点,2級,2point,釧路開発建設部助言610825A0378,北海道防災コンサルタント(株),"61.08.11,61.10.01",
北海道,"小清水町,",道路計画,基準点,2級,5point,網走開発建設部助言610422A0013,北海道測量事業協同組合,"61.04.26,61.07.14",
北海道,"津別町,",土地改良(活汲地区),基準点,2級,4point,網走開発建設部助言610625A0246,北海道測量事業協同組合,"61.06.23,61.09.01",
北海道,"遠別町,羽幌町,苫前町,",道路計画,"基準点,基準点","2級,,3級","8point,14point",留萌開発建設部助言610606A0175,(有)荒木測量設計事務所,"61.05.26,61.07.31",
北海道,"北見市,",道路計画(仁頃地区),"基準点,基準点","2級,,3級","3point,5point",網走開発建設部助言610719A0282,(株)ドボク管理事務所,"61.06.23,61.09.13",
北海道,"弟子屈町,",道路計画,"基準点,基準点","2級,,3級","6point,4point",釧路開発建設部助言610924A0466,東邦コンサルタント(株),"61.09.19,61.12.15",
北海道,"上士幌町,",道路計画,基準点,2級,6point,帯広開発建設部助言610606A0176,(有)土木技術コンサルタント,"61.06.01,61.08.07",
北海道,"大樹町,",道路計画,基準点,2級,4point,帯広開発建設部助言610728A0346,(有)土木技術コンサルタント,"61.07.20,61.08.27",
北海道,"豊頃町,",道路改良(一般国道336号),基準点,2級,6point,帯広開発建設部助言611218A0651,(株)土木技術コンサルタント,"61.12.15,62.02.08",
北海道,"中標津町,",河川計画(標津川共成築堤),"基準点,基準点","2級,,3級","1point,3point",釧路開発建設部助言611126A0634,(株)共立技研,"61.09.27,61.12.13",
北海道,"紋別市,",道路計画,"基準点,撮影,写測図化","3級,,8000,,1000","2point,7.6KM2,0.3KM2",網走開発建設部助言610422A0001,(株)パスコ,"61.05.26,61.08.30",610036
北海道,"紋別市,",道路計画(国道273号),基準点,3級,4point,網走開発建設部助言610825A0365,(株)ダイヤコンサルタント,"61.06.28,61.09.05",
北海道,"斜里町,",農地開発(斜里山麓地区),基準点,3級,5point,網走開発建設部助言610728A0352,北海道測量事業協同組合,"61.08.01,61.09.24",
北海道,"佐呂間町,",道路計画国道333号ルワシ峠,基準点,3級,3point,網走開発建設部助言610728A0353,北海道測量事業協同組合,"61.07.28,61.10.08",
北海道,"白糠町,",道路計画(国道392号),基準点,3級,8point,釧路開発建設部助言610825A0377,北海道測量事業協同組合,"61.08.04,61.11.05",
北海道,"端野町,",道路計画,基準点,3級,5point,網走開発建設部助言611017A0517,北海道測量事業協同組合,"61.10.04,61.12.12",
北海道,"網走市,",土地改良(西網走地区),基準点,3級,8point,網走開発建設部助言611126A0624,北海道測量事業協同組合,"61.11.18,62.01.26",
