都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,計画機関,作業機関,実施時期,付図番号
北海道,"釧路市,",道路計画,"基準点,基準点","1級,,3級","1point,3point",釧路開発建設部助言091224A0634,北海道開発コンサルタント(株),"10.01.05,10.03.26",
北海道,"苫小牧市,",基準点測量,"基準点,基準点","1級,,2級","2point,4point",北海道苫小牧市助言090702A0192,沼田測量設計(株),"09.06.27,09.09.30",
北海道,"夕張市,",ダム計画(夕張シユーパロダム),基準点,1級,53point,石狩川開発建設部助言090516A0049,北海道測量事業協同組合,"09.05.23,09.10.29",
北海道,"森町,",改良工事(大沼公園鹿部線),"基準点,基準点","1級,,3級","1point,9point",北海道函館土木現業所助言090918A0453,(株)栄調査設計,"09.09.08,09.10.31",
北海道,"美瑛町,",土地改良,"基準点,基準点","1級,,1級","1point,6point",旭川開発建設部美瑛地域農業開発事業所助言090723A0288,サンスイコンサルタント(株),"09.07.15,10.02.09",
北海道,"美瑛町,",土地改良,"基準点,基準点","1級,,3級","2point,6point",旭川開発建設部美瑛地域農業開発事業所助言090723A0287,(株)三幸測量設計社,"09.07.15,10.01.12",
北海道,"美瑛町,",土地改良,"基準点,基準点","1級,,3級","1point,5point",旭川開発建設部美瑛地域農業開発事業所助言090804A0341,(株)ドボク管理,"09.08.01,10.02.16",
北海道,"美瑛町,",土地改良(幹線用水路設計等),"基準点,基準点","1級,,3級","1point,8point",旭川開発建設部美瑛地域農業開発事業所助言090710A0228,富洋設計(株),"09.07.10,09.12.25",
北海道,"厚岸町,",地籍調査2級基準点設置,基準点,2級,7point,北海道厚岸町助言091113A0570,(株)パスコ,"09.10.21,10.01.16",
北海道,"札幌市,",河川管理(厚別川未処理用地測量),基準点,2級,2point,北海道札幌土木現業所助言090916A0446,(株)ズコーシャ,"09.09.08,09.11.17",
北海道,"江別市,",用地測量,基準点,2級,2point,石狩川開発建設部助言090725A0314,建基コンサルタント(株),"09.05.21,09.07.29",
北海道,"稚内市,",道路計画(宗谷南部),"基準点,基準点","2級,,3級","1point,9point",稚内開発建設部稚内開発事務所助言090707A0200,(株)シン技術コンサル,"09.07.25,09.11.14",
北海道,"深川市,",土地区画整理,"基準点,基準点,基準点,水準","2級,,3級,,4級,,4級","4point,8point,20point,7.0km",北海道深川市助言090910A0427,(株)シン技術コンサル,"09.08.30,09.12.20",
北海道,"岩見沢市,",用地測量,"基準点,基準点","2級,,3級","1point,3point",北海道札幌土木現業所助言091020A0526,(株)シン技術コンサル,"09.10.17,09.12.15",
北海道,"美瑛町,",道路計画,基準点,2級,8point,北海道旭川土木現業所助言090612A0125,旭川設計測量(株),"09.06.10,09.10.30",
北海道,"旭川市,富良野市,南富良野町,",河川改修計画,基準点,2級,21point,旭川開発建設部助言091020A0520,旭川設計測量(株),"09.10.14,09.12.24",
北海道,"南茅部町,",用地測量,基準点,2級,2point,函館開発建設部助言100311A0663,日鉄鉱コンサルタント(株),"10.03.16,10.03.26",
北海道,"富良野市,",河川計画,"基準点,基準点,基準点","2級,,3級,,4級","3point,6point,44point",北海道旭川土木現業所助言090707A0196,新和測量(株),"09.06.16,09.10.30",
北海道,"美瑛町,",河川管理,"基準点,基準点","2級,,4級","11point,90point",北海道旭川土木現業所助言090825A0392,新和測量(株),"09.08.11,09.11.17",
北海道,"長沼町,",本通2種改築工事用地測量,"基準点,基準点","2級,,3級","1point,3point",北海道札幌土木現業所助言091113A0576,新和測量(株),"09.10.08,10.01.27",
北海道,"旭川市,",土地区画整理,基準点,2級,1point,旭川市旭神土地区画整理組合助言090821A0376,(株)富士測量,"09.08.20,09.09.20",
北海道,"留萌市,",ダム計画,基準点,2級,17point,留萌開発建設部助言091014A0516,(株)富士測量,"09.10.13,09.12.17",
北海道,"美瑛町,",土地改良(幹線用水路設計等),"基準点,基準点","2級,,3級","1point,6point",旭川開発建設部美瑛地域農業開発事業所助言090710A0229,和光技研(株),"09.07.11,10.02.16",
北海道,"留辺蘂町,",地籍調査,基準点,2級,1point,北海道留辺蘂町助言090811A0353,(株)極東コンサルタント,"09.08.01,09.12.12",
北海道,"札幌市,",土地区画整理,"基準点,水準","2級,,1級","4point,10.6km",北海道住宅供給公社助言090518A0045,大東測地(株),"09.05.13,09.07.31",
北海道,"札幌市,",公共基準点の設置,基準点,2級,13point,札幌市助言091020A0529,"大東測地(株),(株)中田測量","09.10.14,10.02.10",
北海道,"旭川市,深川市,",道路計画,"基準点,基準点","2級,,3級","15point,10point",北海道旭川土木現業所助言090714A0269,(株)開発調査研究所,"09.06.16,10.02.20",
