都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,計画機関,作業機関,実施時期,付図番号,2018.01.14修正
北海道,"札幌市,",厚別川小規模改修工事用地測量,基準点,3級,5point,北海道札幌土木現業所助言A0001,千廣測量(株),"1999.04.05,1999.07.26",,
北海道,"網走市,",土地改良畑総事業(南部地区),基準点,3級,5point,北海道網走支庁助言A0002,サン測量設計(株),"1999.04.19,1999.06.30",,
北海道,"函館市,",不動産登記法第17条地図作製,"基準点,基準点","2級,,3級","17point,32point",函館地方法務局助言A0007,(株)岡田測量事務所,"1999.04.20,1999.05.30",,
北海道,"猿払村,厚真町,浜頓別町,鵡川町,中頓別町,",森林計画,"撮影,撮影","20000,,20000","2290KM2,1485KM2",北海道助言A0008,北海航測(株),"1999.06.01,1999.10.31",,
北海道,"鷹栖町,",用地測量,"基準点,基準点,基準点","1級,,3級,,4級","5point,15point,60point",北海道旭川土木現業所助言A0009,旭川設計測量(株),"1999.04.05,1999.08.30",,
北海道,"岩内町,仁木町,共和町,余市町,",道路計画,"撮影,写測図化,撮影,写測修正","8000,,1000,,8000,,1000","32.6KM2,3KM2,10.8KM2,3.3KM2",小樽開発建設部助言A0010,(株)八州,"1999.04.26,1999.08.20",,
北海道,"歌志内市,",地すべり対策,基準点,3級,2point,北海道札幌土木現業所助言A0011,中央測建(株),"1999.03.10,1999.07.26",,
北海道,"岩見沢市,北広島市,江別市,栗沢町,千歳市,",河川管理,"カラー撮影,空三,その他","10000,,2500","542.3KM2,345M,410KM2",石狩川開発建設部助言A0012,(株)シン技術コンサル,"1999.04.21,2000.03.21",,
北海道,"池田町,",農地開発,基準点,3級,11point,北海道十勝支庁助言A0013,(株)富士雄設計コンサルタント,"1999.04.28,1999.09.30",,
北海道,"北村,",土地改良,基準点,3級,4point,北海道空知支庁助言A0014,(株)北開測地,"1999.04.28,1999.07.30",,
北海道,"赤平市,",農道整備事業(平岸東地区),基準点,3級,8point,北海道空知支庁助言A0015,技研測量設計(株),"1999.04.26,1999.09.30",,
