都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,計画機関,作業機関,自至時期,備考,2018.01.14修正
北海道,"長沼町,",土地総優勢東,基準点,3級,17point,助言13.04.09A0001北海道　空知支庁,㈱みずほ設計事務所,"13.04.10
13.10.30",,
北海道,"生田原町,",生田原地すべり対策工事,基準点,3級,5point,助言13.04.24A0002北海道　網走土木現業所,㈱村越工務所,"13.05.07
13.12.10",,
北海道,"紋別市,",紋別空港敷地調査,基準点,3級,6point,助言13.04.25A0003北海道　網走土木現業所,㈱村越工務所,"13.05.07
13.07.31",,
北海道,"津別町,",畑総恩根地区調査,基準点,3級,10point,助言13.04.27A0004北海道　網走支庁,㈱ドボク管理,"13.04.27
13.06.29",,
北海道,"留萌市,",ダム管理,写真図,2500,35KM2,助言13.04.27A0005留萌開発建設部,㈱シン技術コンサル,"13.04.26
13.06.22",,
北海道,"札幌市,",用地測量,基準点,3級,16point,助言13.05.01A0006石狩川開発建設部,嵯峨測量設計㈱,"13.04.23
13.07.16",,
北海道,"増毛町,",砂防計画,"数値図化,水準,空三","2500,,簡級,,2500","13.6KM2,10.5km,8M","助言13.05.01A0007
北海道　留萌土木現業所",㈱シン技術コンサル,"13.05.01
13.10.30",,
北海道,"岩内町,共和町,蘭越町,ニセコ町,寿都町,黒松内町,豊浦町,長万部町,倶知安町,真狩村,中頓別町,中川町,音威子府村,歌登町,枝幸町,美深町,名寄市,下川町,雄武町,",森林計画,撮影,20000,3236KM2,助言13.05.09A0008北海道,北海道航空㈱,"13.06.01
13.10.26",,
北海道,"芽室町,",土地改良事業芽室地区,基準点,3級,1point,助言13.05.09A0009帯広開発建設部　帯広農業事務所,㈱水工エンジニアリング,"13.05.09
13.05.18",,
北海道,"比布町,",排水路整備麻布地区,基準点,3級,9point,助言13.05.10A0010北海道　上川支庁,㈱葵開発コンサル,"13.05.10
13.07.10",,
北海道,"上川町,",中山間上川地区,"基準点,基準点","2級,,3級","2point,2point",助言13.05.10A0011北海道　上川支庁,ロイヤルコンサルタント㈱,"13.05.10
13.06.11",,
北海道,"佐呂間町,",畑総佐呂間西部,基準点,3級,6point,助言13.05.10A0012北海道　網走支庁,㈱中神土木設計事務所,"13.05.10
13.10.30",,
北海道,"常呂町,",湛水防除事業日吉地区,基準点,3級,16point,助言13.05.14A0013北海道　網走支庁,㈱北杜設計,"13.05.14
13.07.10",,
北海道,"名寄市,",道営緊急畑総事業,基準点,3級,2point,助言13.05.14A0014北海道　上川支庁,㈱東亜エンジニアリング,"13.05.14
13.08.20",,
