都道府県名,測量地域,測量目的,測量種別,縮尺･等級,事業量,計画機関,作業機関,自至時期,,2018.01.14修正
北海道,"門別町,平取町,",河川管理,"撮影,数値図化,空三","12500,,2500,,12500","122.0KM2,34.7KM2,37M","室蘭開発建設部

助言H14.4.2A0001",日測技研(株),"H14.3.6

H14.9.30",,
北海道,"帯広市,幕別町,",河川計画,"空三,数値図化","12500,,2500","26M,82.3KM2","帯広開発建設部
助言H14.4.5A0002",日測技研(株),"H14.4.4
H14.10.25",,
北海道,"江別市,",都市計画,座標変換,2500,187.6KM2,"江別市
助言H14.4.22A0003",北海道地図(株),"H14.4.15
H14.6.17",,
北海道,"小樽市,",都市計画,基準点,4級,5point,"小樽市
助言H14.4.19A0005",北海道調査測量(株),"H14.4.5
H14.4.30",,
北海道,"幕別町,",道路用地,基準点,2級,4point,"北海道帯広土木現業所
助言H14.4.19A0006",(株)泉渾測量設計,"H14.4.1
H14.6.28",,
北海道,"南富良野町,",落合停車場線交通安全施設工事,座標変換,3級,11point,"北海道旭川土木現業所
助言H14.4.26A0007",(株)松村測量設計,"
H14.4.25

H14.6.28",,
北海道,"厚沢部町,",厚沢部町広域基幹改修工事,基準点,3級,8point,"北海道函館土木現業所
助言H14.4.26A0008",(株)シン技術コンサル,"
H14.4.25

H14.11.29",,
北海道,"厚沢部町,",厚沢部川広域基幹改修工事,"基準点,基準点","2級,,3級","3point,7point","北海道函館土木現業所
助言H14.4.26A0009",(株)サッポロ･エンジニヤーズ,"
H14.4.25

H14.11.29",,
北海道,"弟子屈町,",世界測地系へ座標変換･用地測量,座標変換,3級,5point,"釧路開発建設部
助言H14.4.26A0010",(有)渋谷測量社,"
H14.5.17

H14.8.16",,
北海道,"厚真町,",道営ほ場整備(区画整理),"基準点,基準点","2級,,3級","1point,1point","北海道胆振支庁
助言H14.4.26A0011",ロイヤルコンサルタント(株),"
H14.5.2

H14.5.10",,
北海道,"幕別町,",明倫幕別停車場線側溝整備,基準点,3級,4point,"北海道帯広土木現業所
助言H14.5.10A0012",丸菱測量設計(株),"
H14.5.7

H14.8.20",,
北海道,"長沼町,",道営土地総(担い手育成)事業,基準点,3級,7point,"北海道空知支庁
助言H14.5.13A0013",拓新エンジニア(株),"
H14.4.23

H14.12.19",,
北海道,"札幌市,",札幌市公共基準点測地成果2000,"基準点,基準点","１級,,2級","53point,466point","札幌市
助言H14.5.10A0014",大東測地(株),"
H14.4.8

H14.5.31",,
北海道,"鷹栖町,",町道8線道路交付金事業実施設計,基準点,3級,5point,"鷹栖町
助言H14.5.15A0015",旭川設計測量(株),"
H14.4.24

H14.8.30",,
北海道,"上富良野町,",水質障害対策草分地区委託1,基準点,3級,19point,"北海道上川支庁
助言H14.5.13A0016",(株)ランドプランニング,"
H14.4.15

H14.11.29",,
北海道,"雨竜町,",用排水･区画整理･暗渠排水,基準点,3級,28point,"北海道空知支庁
助言H14.5.13A0017",内外エンジニアリング(株),"
H14.4.23

H14.12.10",,
北海道,"足寄町,",世界測地系へ座標変換,"基準点,基準点","2級,,3級","6point,34point","足寄町
助言H14.5.14A0018",足寄町,"H14.5.13
H14.5.31",,
北海道,"厚真町,",中山間(生産基盤)高岡地区,"基準点,基準点","2級,,3級","4point,9point","北海道胆振支庁
助言H14.5.14A0019",ロイヤルコンサルタント(株),"H14.5.17
H14.6.15",,
北海道,"足寄町,",土地改良,"基準点,基準点","2級,,3級","6point,4point","北海道十勝支庁
助言H14.5.10A0020",東和工研(株),"H14.3.14
H14.11.11",,
北海道,"留萌市,",地すべり対策,撮影,12500,342.4KM2,"留萌開発建設部
助言H14.5.13A0021",(株)シン技術コンサル,"H14.5.9
H14.9.5",,
北海道,"紋別市,",道路台帳作成(一般国道273号),"基準点,基準点","１級,,2級","9point,3point","網走開発建設部
助言H14.5.14A0022",(株)村越工務所,"
H14.5.13

H14.9.11",,
北海道,"中標津町,",総合計画,基準点,2級,50point,"中標津町
助言H14.5.16A0023",(有)津村測量,"H14.4.26
H14.6.28",,
北海道,"八雲町,",道路計画,基準点,3級,9point,"北海道渡島支庁
助言H14.5.15A0024",北海航測(株),"H14.5.13
H14.5.31",,
北海道,"名寄市,",都市計画図作成,"座標変換,写測修正","2500,,2500","17.3KM2,17.3KM2","名寄市
助言H14.5.17A0025",(株)道測テクニス,"H14.5.1
H14.12.10",,
北海道,"三笠市,由仁町,栗山町,長沼町,追分町,赤平市,滝川市,芦別市,幌加内町,士別市,深川市,沼田町,北竜町,秩父別町,",河川計画,カラー撮影,10000,951.4KM2,"石狩川開発建設部
助言H14.5.17A0026",(株)シン技術コンサル,"H14.5.1
H14.7.31",,
北海道,"北見市,端野町,",基準点の座標変換作業及び道路,"基準点,基準点","１級,,2級","9point,54point","網走開発建設部
助言H14.5.24A0027",益村測量設計(株),"
H14.5.1

H14.10.28",,
北海道,"平取町,",世界測地系へ座標変換,"基準点,基準点,基準点","2級,,3級,,4級","1point,1point,14point","室蘭開発建設部
助言H14.5.20A0028",北海道測量事業協同組合,"
H14.5.8

H14.7.1",,
北海道,"佐呂間町,",道営畑総(担い手育成)事業,基準点,3級,11point,"北海道網走支庁
助言H14.5.20A0029",平田技術コンサルタント(株),"H14.5.15
H14.10.10",,
