都道府県名,測量地域,測量目的,測量種別,縮尺･等級,事業量,計画機関,作業機関,自至時期,2018.01.14修正,
北海道,"池田町,幕別町,豊頃町,浦幌町,",変動調査,"基準点,基準点","１級,,2級","18point,63point","帯広開発建設部
助言H16.4.9A0001",北海道測量事業協同組合,"H16.4.1

H16.8.31",,
北海道,"門別町,新冠町,",災害工事,水準,3級,21.0km,"北海道胆振支庁
助言H16.4.14A0002",(株)伸栄コンサル,"H16.4.9
H16.6.30",,
北海道,"門別町,",河川管理,水準,3級,6point,"北海道胆振支庁
助言H16.4.19A0003",道建コンサルタント(株),"H16.4.15
H16.6.30",,
北海道,"比布町,",土地改良,"基準点,座標変換","3級,,3級","2point,1point","旭川開発建設部
助言H16.5.6A0004",(株)三幸測量設計社,"H16.4.26
H16.8.30",,
北海道,"平取町,",災害関連工事,水準,3級,14.0km,"北海道胆振支庁
助言H16.5.6A0005",新和測量(株),"H16.4.21
H16.7.20",,
北海道,"芽室町,",河川用地,基準点,3級,12point,"帯広開発建設部
助言H16.5.10A0006",(株)エーティック,"H16.4.26
H16.8.23",,
北海道,"帯広市,中札内村,",河川計画,カラー撮影,12500,144.0KM2,"帯広開発建設部
助言H16.5.10A0007",(株)シン技術コンサル,"H16.4.14
H16.11.30",,
北海道,"女満別町,",道路台帳,"基準点,基準点","１級,,2級","2point,4point","網走開発建設部
助言H16.5.10A0008",サン技術コンサルタント(株),"H16.5.20
H16.9.13",,
北海道,"名寄市,",農道計画,"基準点,基準点","１級,,3級","2point,10point","北海道上川支庁
助言H16.5.10A0009",やまざきコンサルタント(株),"H16.4.30
H16.11.30",,
北海道,"八雲町,",河川管理,"基準点,基準点,座標変換","2級,,3級,,2級","4point,5point,1point","北海道渡島支庁
助言H16.5.10A0010",臥牛測量設計(株),"H16.4.23
H16.7.30",,
北海道,"静内町,",農道計画,基準点,3級,3point,"北海道日高支庁
助言H16.6.25A0011",新和測量(株),"H16.6.8
H16.7.30",,
北海道,"由仁町,",ほ場整備,基準点,3級,4point,"北海道空知支庁
助言H16.5.10A0012",北海道調査補償(株),"H16.4.28
H16.8.30",,
北海道,"妹背牛町,秩父別町,",土地改良,基準点,3級,8point,"北海道空知支庁
助言H16.5.10A0013",(株)北開測地,"H16.4.22
H16.9.10",,
北海道,"門別町,",改良,"基準点,座標変換","3級,,2級","32point,2point","北海道日高支庁
助言H16.8.5A0014",(株)桜井測量,"H16.8.2
H16.11.30",,
北海道,"伊達市,",河川計画,"基準点,基準点","2級,,4級","2point,28point","北海道胆振支庁
助言H16.5.13A0015",内田測量調査(株),"H16.4.19
H16.9.30",,
北海道,"帯広市,",農道計画,"基準点,座標変換","3級,,2級","8point,8point","北海道十勝支庁
助言H16.5.13A0016",(株)田西設計コンサル,"H16.5.10
H16.6.30",,
北海道,"音更町,",道路用地,座標変換,3級,4point,"北海道十勝支庁
助言H16.5.13A0017",(有洪栄技研,"H16.5.10
H16.6.10",,
北海道,"蘭越町,",土地改良,基準点,3級,3point,"北海道後志支庁
助言H16.5.13A0018","(株)北海道農業建設コンサルタン
ト","H16.5.6
H16.10.5",,
北海道,"ニセコ町,",道路用地,基準点,3級,7point,"北海道後志支庁
助言H16.5.13A0019",(株)東亜エンジニアリング,"H16.5.20
H16.6.20",,
