都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,計画機関,作業機関,自至時期,,2018.01.14修正
北海道,"小樽市,",道路台帳,基準点,３級,4point,助言H22.5.10A0002小樽開発建設部,HRS(株),"H22.4.26
H22.9.30",,
北海道,"札幌市,北広島市,",固定資産,"数値撮影,ディジタルオルソ","地上画素寸法20cm,,2500","814.5KM2,814.5KM2",助言H22.5.10A0003札幌市,(株)シン技術コンサル,"H22.4.21
H22.11.30",,
北海道,"天塩町,幌延町,",河川管理,カラー撮影,12500,262KM2,助言H22.5.14A0007留萌開発建設部,三和航測(株),"H22.4.22
H22.9.28",,
北海道,"平取町,",道路計画,基準点,１級,1point,助言H22.5.14A0008平取町,(株)タナカコンサルタント,"H22.4.2
H22.6.30",,
北海道,"豊浦町,",道路用地,基準点,３級,2point,助言H22.5.14A0009北海道胆振総合振興局,(株)とようら測量設計,"H22.5.8
H22.6.30",,
北海道,"浦幌町,",道路用地,基準点,３級,6point,助言H22.5.17A0010北海道十勝総合振興局,アラヤ総合設計(株),"H22.5.12
H22.6.30",,
北海道,"深川市,",土地改良,基準点,３級,3point,助言H22.5.17A0011北海道空知総合振興局,やまざきコンサルタント(株),"H22.5.11
H22.8.31",,
北海道,"津別町,",土地改良,基準点,１級,2point,助言H22.5.17A0012北海道オホーツク総合振興局,(株)ナオック,"H22.5.12
H22.7.29",,
北海道,"帯広市,",砂防計画,数値図化,2500,15.2KM2,助言H22.5.17A0013帯広開発建設部,日測技研(株),"H22.4.1
H23.2.10",,
北海道,"芽室町,",道路用地,基準点,３級,3point,助言H22.5.20A0014北海道十勝総合振興局,北海道土木設計(株),"H22.5.12
H22.9.30",,
北海道,"雄武町,",土地改良,基準点,２級,7point,助言H22.5.20A0015北海道オホーツク総合振興局,北海設計(株),"H22.5.14
H22.10.8",,
北海道,"浦幌町,",道路用地,"基準点,基準点","１級,,２級","2point,1point",助言H22.5.25A0017北海道十勝総合振興局,(株)十勝測量設計社,"H22.4.28
H22.6.30",,
北海道,"札幌市,",砂防計画,基準点,３級,3point,助言H22.5.25A0022北海道空知総合振興局,エイコー技研(株),"H22.5.6
H23.1.31",,
北海道,"砂川市,",河川防災,基準点,３級,2point,助言H22.5.25A0023北海道空知総合振興局,"(株)北海道水工コンサルタ
ンツ","H22.4.23
H22.8.30",,
北海道,"北斗市,",土地改良,基準点,３級,7point,助言H22.5.25A0024北海道渡島総合振興局,北栄測量設計(株),"H22.5.21
H22.11.30",,
北海道,"平取町,",道路用地,基準点,３級,1point,助言H22.5.25A0025平取町,沼田測量設計(株),"H22.5.21
H22.10.20",,
北海道,"由仁町,",土地改良,基準点,３級,24point,助言H22.5.28A0026北海道空知総合振興局,(株)空知コンサルタント,"H22.5.21
H23.2.14",,
北海道,"稚内市,",総合計画,数値撮影,地上画素寸法20cm,142.5KM2,助言H22.5.28A0027稚内市,(株)GIS北海道,"H22.5.28
H23.3.31",,
北海道,"西興部村,",都市計画,"撮影,数値図化,水準","6000,,1000,,簡級","7.5KM2,3.1KM2,13km",助言H22.5.28A0029西興部村,(株)北海道朝日航洋,"H21.11.13
H22.9.30",,
北海道,"共和町,",道路計画,基準点,３級,2point,助言H22.5.28A0030共和町,(株)みずほ栄設計,"H22.5.25
H22.11.30",,
北海道,"旭川市,",基準点管理,基準点,３級,1point,助言H22.6.1A0037旭川市,(株)阿部工測,"H22.5.27
H22.9.30",,
北海道,"士別市,",総合計画,撮影,地上画素寸法20cm,60.2KM2,助言H22.6.2A0031士別市,(株)GIS北海道,"H22.5.24
H23.3.11",,
北海道,"増毛町,",港湾管理,基準点,３級,4point,助言H22.6.2A0032留萌開発建設部,(株)ユニテック,"H22.4.15
H22.7.13",,
北海道,"由仁町,",土地改良,基準点,３級,84point,助言H22.6.2A0034北海道空知総合振興局,(株)極東コンサルタント,"H22.5.27
H23.2.14",,
北海道,"赤井川村,",道路用地,基準点,３級,1point,助言H22.6.2A0035赤井川村,オオハシコンサルタント(株),"H22.5.26
H22.8.10",,
北海道,"別海町,",道路管理,基準点,３級,1point,助言H22.6.3A0039北海道釧路総合振興局,(有)マップハウス,"H22.5.28
H22.10.20",,
北海道,"登別市,",漁港整備,"基準点,基準点","３級,,４級","1point,8point",助言H22.6.3A0040室蘭開発建設部,日章測量設計(株),"H22.6.1
H22.7.30",,
北海道,"利尻富士町,",砂防計画,"基準点,基準点,数値撮影,水準,数値図化","２級,,３級,,地上画素寸法18cm,,簡級,,1000","3point,3point,14KM2,0.4km,0.3KM2",助言H22.6.3A0041北海道宗谷総合振興局,(株)シン技術コンサル,"H22.5.29
H23.3.22",,
北海道,"芦別市,",道路用地,基準点,３級,2point,助言H22.6.4A0042北海道空知総合振興局,北日本測地(株),"H22.6.2
H22.8.20",,
北海道,"新十津川町,",土地改良,"基準点,基準点","３級,,４級","47point,130point",助言H22.6.4A0043北海道空知総合振興局,(株)本山測量設計,"H22.6.10
H22.8.25",,
北海道,"栗山町,",土地改良,基準点,３級,2point,助言H22.6.7A0044北海道空知総合振興局,スミセキ・ジオテクノ(株),"H22.5.24
H22.8.20",,
北海道,"石狩市,",土砂災害防止,"既成図数値化,数値図修正","2500,,2500","1.2KM2,1.2KM2",助言H22.6.7A0045北海道空知総合振興局,共和コンサルタント(株),"H22.6.7
H22.12.20",,
北海道,"和寒町,",道路用地,標高補正,２級,4point,助言H22.6.7A0046北海道上川総合振興局,新栄コンサルタント(株),"H22.6.3
H22.9.22",,
北海道,"新冠町,",砂防計画,"基準点,基準点,基準点","１級,,２級,,３級","5point,4point,1point",助言H22.6.8A0047北海道胆振総合振興局,アルファ計画(株),"H22.5.19
H22.9.30",,
北海道,"厚岸町,",境界測量,基準点,２級,6point,助言H22.6.8A0048厚岸町,(有)渋谷測量社,"H22.6.7
H22.8.20",,
北海道,"厚岸町,",地籍調査,基準点,３級,3point,助言H22.6.8A0049厚岸町,東邦コンサルタント(株),"H22.6.7
H22.8.20",,
北海道,"旭川市,",道路用地,基準点,３級,1point,助言H22.6.8A0050旭川開発建設部,(株)及川土木設計,"H22.6.24
H22.8.23",,
北海道,"深川市,",河川用地,基準点,２級,4point,助言H22.6.8A0051北海道空知総合振興局,協立測量設計(株),"H22.6.14
H22.9.21",,
北海道,"紋別市,",道路用地,"基準点,基準点","１級,,３級","2point,1point",助言H22.6.9A0053北海道オホーツク総合振興局,(株)ムラコシ,"H22.5.26
H22.9.30",,
北海道,"壮瞥町,",砂防計画,"基準点,カラー撮影,数値図化,水準","１級,,8000,,1000,,簡級","3point,7KM2,0.7KM2,16km",助言H22.6.9A0054北海道胆振総合振興局,(株)メイセイ・エンジニアリン,"H22.6.15
H22.8.28",,
北海道,"日高町,",砂防計画,基準点,３級,4point,助言H22.6.14A0055北海道胆振総合振興局,(株)日高測量,"H22.5.19
H22.8.30",,
北海道,"遠軽町,",砂防計画,"基準点,基準点,数値撮影,数値図化,水準","１級,,３級,,地上画素寸法12cm,,1000,,簡級","3point,19point,9KM2,2.3KM2,11km",助言H22.6.14A0056北海道オホーツク総合振興局,(株)シン技術コンサル,"H22.6.10
H22.11.30",,
北海道,"森町,",港湾,基準点,３級,2point,助言H22.6.14A0057函館開発建設部,(株)小林土木工業所,"H22.6.10
H22.8.25",,
北海道,"新冠町,",砂防計画,"カラー撮影,空三,数値図化","8000,,,,1000","8.2KM2,7model,2.4KM2",助言H22.6.15A0059北海道胆振総合振興局,北海航測(株),"H22.6.2
H22.9.30",,
北海道,"平取町,",砂防計画,"基準点,基準点","１級,,２級","3point,3point",助言H22.6.17A0061北海道胆振総合振興局,沼田測量設計(株),"H22.6.10
H22.9.30",,
北海道,"小樽市,",砂防計画,"基準点,基準点,数値撮影,数値図化,水準","２級,,３級,,地上画素寸法12cm,,1000,,簡級","1point,3point,2.7KM2,0.3KM2,2.1km",助言H22.6.17A0062北海道後志総合振興局,(株)シン技術コンサル,"H22.6.10
H22.7.20",,
北海道,"むかわ町,",河川管理,数値撮影,地上画素寸法19cm,176.3KM2,助言H22.6.17A0064室蘭開発建設部,(株)シン技術コンサル,"H22.7.16
H22.12.3",,
北海道,"占冠村,",道路用地,"座標変換,座標変換,座標補正,座標補正,標高補正,標高補正","２級,,３級,,２級,,３級,,２級,,３級","3point,1point,3point,1point,3point,1point",助言H22.6.17A0066北海道上川総合振興局,タッケン測量(株),"H22.6.12
H22.10.20",,
北海道,"札幌市,",地図整備調査,基準点,３級,4point,助言H22.6.17A0067札幌市,和光技研(株),"H22.6.15
H23.3.18",,
北海道,"新篠津村,",土地改良,基準点,３級,6point,助言H22.6.17A0068北海道石狩振興局,"(株)北海道農業建設コンサ
ルタント","H22.6.12
H22.8.30",,
北海道,"美深町,",河川管理,"基準点,基準点","２級,,３級","3point,1point",助言H22.6.17A0069旭川開発建設部,都市計画(株),"H22.6.21
H22.9.3",,
北海道,"旭川市,",道路用地,"座標変換,標高補正,標高補正","２級,,２級,,３級","3point,3point,4point",助言H22.6.17A0070北海道上川総合振興局,(株)イズム・グリーン,"H22.6.15
H22.12.15",,
北海道,"名寄市,",道路計画,基準点,２級,3point,助言H22.6.17A0071北海道上川総合振興局,(株)アサヒ建設コンサルタン,"H22.5.28
H22.9.30",,
北海道,"網走市,",道路用地,基準点,３級,10point,助言H22.6.17A0073北海道オホーツク総合振興局,(株)開発調査研究所,"H22.6.15
H22.11.30",,
北海道,"愛別町,",道路計画,"基準点,基準点","１級,,３級","1point,1point",助言H22.6.17A0076北海道上川総合振興局,北海道土木設計(株),"H22.6.16
H22.7.31",,
北海道,"新冠町,",砂防計画,"基準点,基準点","１級,,３級","2point,7point",助言H22.6.21A0077北海道胆振総合振興局,日新測量(株),"H22.5.26
H22.9.30",,
北海道,"札幌市,",砂防計画,基準点,３級,2point,助言H22.6.28A0080北海道空知総合振興局,国土防災技術北海道(株),"H22.5.14
H23.1.20",,
北海道,"長沼町,",土地改良,基準点,３級,13point,助言H22.6.28A0082北海道空知総合振興局,(株)創生コンサルタント,"H22.6.23
H22.12.20",,
北海道,"訓子府町,",道路用地,基準点,３級,6point,助言H22.6.28A0083北海道オホーツク総合振興局,(株)カワムラ,"H22.6.23
H22.10.20",,
北海道,"富良野市,",河川管理,"基準点,基準点,基準点,基準点","１級,,２級,,３級,,４級","1point,1point,6point,5point",助言H22.6.30A0085北海道上川総合振興局,(株)ヒロノ測建,"H22.5.28
H22.10.29",,
