都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,測量計画機関（助言番号）,測量作業機関,実施時期,,2018.01.14修正
北海道,"芽室町,",その他,"基準点測量,基準点測量","１級,,３級","3point,8point","北海道十勝総合振興局 
助言　　　H24.4.10  A0001",東和工研株式会社 ,"H24.4.5 
H24.9.20",,
北海道,"芽室町,",その他,"基準点測量,基準点測量","１級,,３級","2point,5point","北海道十勝総合振興局 
助言　　　H24.4.20  A0002","北武コンサルタント株式
会社 ","H24.4.19 
H24.6.11",,
北海道,"石狩市,",その他,"数値撮影(デジタル),修正測量","25,,2500","95KM2,95KM2","北海道石狩市 
助言　　　H24.4.24  A0003",北海道地図株式会社 ,"H24.4.1 
H25.3.31",,
北海道,"厚真町,",その他,基準点測量,３級,2point,"北海道厚真町 
助言　　　H24.4.24  A0004","株式会社シン技術コンサ
ル ","H24.5.7 
H24.12.20",,
北海道,"猿払村,",その他,基準点測量,２級,3point,"北海道開発局稚内開発建設部 
助言　　　H24.4.25  A0005","株式会社三幸測量設計
社 ","H24.4.21 
H24.10.31",,
北海道,"池田町,",土地改良,"基準点測量,基準点測量,基準点測量","２級,,３級,,４級","4point,5point,7point","北海道十勝総合振興局 
助言　　　H24.5.7  A0006",有限会社共栄技研 ,"H24.5.10 
H24.8.20",,
北海道,"共和町,",その他,"基準点測量,基準点測量,路線測量","１級,,３級,,その他","1point,1point,0.2km","北海道後志総合振興局 
助言　　　H24.5.9  A0007","株式会社アース設計事
務所 ","H24.5.14 
H24.11.30",,
北海道,"中富良野町,",その他,"基準点測量,基準点測量","３級,,４級","31point,59point","北海道上川総合振興局 
助言　　　H24.8.7  A0008","やまざきコンサルタント株
式会社 ","H24.5.8 
H24.9.30",,
北海道,"滝川市,",その他,基準点測量,３級,18point,"北海道空知総合振興局 
助言　　　H24.5.11  A0009",株式会社北開測地 ,"H24.5.3 
H25.2.20",,
北海道,"南富良野町,",その他,基準点測量,３級,1point,"北海道上川総合振興局 
助言　　　H24.5.11  A0010",株式会社国策測量設計 ,"H24.5.8 
H24.8.30",,
北海道,"浦河町,",その他,"基準点測量,基準点測量,水準測量,モノクロ撮影(フィルム),数値図化","１級,,３級,,４級,,8000,,1000","2point,2point,3.8km,5.41KM2,0.36KM2","北海道胆振総合振興局 
助言　　　H24.5.11  A0011","株式会社細道コンサルタ
ント ","H24.5.9 
H24.8.31",,
