都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,計画機関,作業機関,実施時期,付図番号,,地域修正,05_地域修正,～の有無,2018.01.11地名修正
北海道,弟子屈町,道路台帳,"撮影,写測","8000,,1000","300.0KM2,28.0KM2",弟子屈町,東邦測量,"54.1.1,54.12.5",1,,,郡削除,,
北海道,尻岸内町,都市計画,"撮影,写測","12500,,2500","38.0KM2,38.0KM2",尻岸内町,"北海道,マイクロ写真","54.4.20,54.8.20",2,,,郡削除,,
北海道,網走市,森林計画,写測,5000,50.0KM2,北見営林支局,アジア航測,"54.7.1,54.10.31",44,,,,,
北海道,上川町,道路台帳,"撮影,写測","8000,,1000","280.0KM2,5.7KM2",上川町,アジア航測,"54.4,54.9.30",46,,,郡削除,,
北海道,"岩見沢市,三笠市,美唄市,奈井江町,砂川市,滝川市",道路計画,路線,,46.9km,日本道路公団札幌建設局,"サンコウコンサルタント,大日コンサルタント,アジア航測,(株)オオバ,パシフック航業","54.5.20,55.3.31",,,,郡削除,,
北海道,広島町,道路台帳,"撮影,写測","8000,,1000","121.0KM2,22.4KM2",広島町,シン航空写真,"54.4.27,55.3.30",55,,,郡削除,,
北海道,"新得町,清水町,鹿追町,音更町,士幌町,上士幌町,帯広市,芽室町,中札内村,更別村,幕別町,豊頃町,忠類村",森林計画,撮影,20000,2660.0KM2,北海道,北海道航空,"54.4.28,54.7.31",87,,,郡削除,,地名修正
北海道,"新得町,清水町,鹿追町,音更町,士幌町,上士幌町,帯広市,芽室町,中札内村,更別村,幕別町,豊頃町,忠類村",森林計画,空三,,565model,北海道,"国際航業,パシフイック航業,東洋航空事業,中庭測量","54.4.28,54.7.31",,,,郡削除,,地名修正
北海道,厚岸町,道路台帳,"撮影,写測","8000,,1000","30.0KM2,27.0KM2",厚岸町,東邦測量,"53.12.23,55.3.31",106,,,郡削除,,
北海道,網走市,都市計画,"撮影,写測","12500,,2500","90.0KM2,24.9KM2",網走市,シン航空写真,"54.5.9,54.9.25",107,,,,,
北海道,"中川町,比布町,南富良野町",道路調査,"撮影,写測","8000,,1000","86.4KM2,4.3KM2",旭川開発建設部,八州測量,"54.6,54.9",108,,,郡削除,,
北海道,,国有林野管理経営,"境界,図根",",,","44.0km,12point",旭川営林支局,自営,"54.6.1,54.11.30",,,,国有林,,
北海道,"白糠町,弟子屈町,中標津町,音更町",国有林野管理経営,"境界,図根",",,","68.0km,6point",帯広営林支局,自営,"54.5.1,54.11.1",,,,郡削除,,
北海道,蘭越町,道路台帳,"撮影,写測","8000,,1000","330.0KM2,18.0KM2",蘭越町,"国際道測,共同企業体","54.5.10,55.2.29",128,,,郡削除,,
北海道,東神楽町,道路台帳,"撮影,撮影,写測,写測","4000,,8000,,500,,1000","10.8KM2,162.0KM2,1.6KM2,25.1KM2",東神楽町,アジア航測,"54.6.1,55.3.31",148,,,郡削除,,
北海道,今金町,農地開発,"撮影,写測,写測","25000,,5000,,10000","172.0KM2,26.0KM2,26.0KM2",函館開発建設部,シン航空写真,"54.5.21,54.7.16",149,事業量併記,,郡削除,,
北海道,阿寒町,農地開発,写測,5000,47.0KM2,釧路開発建設部,東洋航空事業,"54.5.30,54.7.1",150,,,郡削除,,
北海道,岩内町,道路台帳,"撮影,写測","8000,,1000","55.9KM2,4.5KM2",岩内町,"大橋,八洲共同企業体","54.6.1,55.3.15",151,,,郡削除,,
北海道,岩内町,都市計画,"撮影,写測","12500,,2500","25.0KM2,13.0KM2",岩内町,"大橋,八洲共同企業体","54.6.1,54.7.15",152,,,郡削除,,
北海道,中標津町,都市計画,写測,2500,30.0KM2,中標津町,東洋航空事業,"54.5.15,54.6.30",186,,,郡削除,,
北海道,"稚内市,豊富町",農地開発,撮影,22000,230.0KM2,稚内開発建設部,北海航測,"54.5.12,54.7.20",187,,,郡削除,,
北海道,美瑛町,土地改良,写測,10000,11.5KM2,旭川開発建設部,北海航測,"54.6.15,54.7.31",188,,,郡削除,,
北海道,倶知安町,都市計画及び道路台帳,"撮影,写測,写測","8000,,1000,,2500","261.0KM2,15.0KM2,10.0KM2",倶知安町,国際航業,"54.5.25,56.2.15",189,,,郡削除,,
北海道,上湧別町,道路台帳,"撮影,撮影,写測","8000,,12000,,1000","10.3KM2,160.6KM2,1.0KM2",上湧別町,北海航測,"54.5.29,55.3.20",216,,,郡削除,,
