都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,計画機関,作業機関,実施時期,付図番号,,地域修正,～の有無,2018.01.10地名修正
北海道,伊達市,"道路台帳,都市計画","撮影,撮影,写測,写測","4000,,8000,,1000,,2500","116.0KM2,150.0KM2,14.9KM2,78.0KM2",伊達市,パシフィック航業,"55.4.10,56.3.31",2,,全域削除,,
北海道,函館市,"廃棄物処分場,用地計画","撮影,写測,写測","8000,,1000,,2500","10.0KM2,3.3KM2,1.0KM2",函館市,パシフィック航業,"55.4.20,55.5.20",12,,地区削除，地名修正,,
北海道,門別町,道路台帳,"撮影,写測","8000,,1000","21.4KM2,21.4KM2",門別町,"極東陸地,高崎測量設計共同企業体","55.4.25,57.3.31",13,,全域削除,,
北海道,白老町,道路台帳,"撮影,写測","8000,,1000","321.3KM2,15.3KM2",白老町,シン航空写真(株),"55.4.21,56.3.31",,,全域削除,,
北海道,士別市,道路台帳,"撮影,写測","8000,,1000","480.0KM2,32.5KM2",士別市,パシフィック航業,"55.5.20,56.1.10",81,,全域削除,,
北海道,厚岸町,草地開発事業調査,写測,5000,11.5KM2,釧路開発建設部,日本測量(株),"55.5.15,55.8.15",82,,地名修正,,
北海道,"千歳市,恵庭市,早来町,追分町",千歳小火器射場航空測量図化調査,"撮影,写測","20000,,5000","257.3KM2,70.0KM2",札幌防衛施設局,シン航空写真(株),"55.5.16,55.9.30",,,域内削除,,
北海道,真狩村,道路台帳,"撮影,写測","8000,,1000","126.0KM2,6.5KM2",真狩村,パシフィック航業,"55.5.1,55.12.30",85,,全域削除,,
北海道,広島町,都市計画,写測,2500,95.0KM2,広島町,シン航空写真(株),"55.4.24,56.2.16",86,,全域削除,,
北海道,千歳市,都市計画,"撮影,写測","12500,,2500","30.7KM2,22.0KM2",千歳市,シン航空写真(株),"55.4.19,55.9.30",133,,及び削除,,
北海道,"猿払村,長万部町",道営草地開発,写測,5000,3.2KM2,北海道農務部,北海航測,"55.5.6,55.6.10",,,"シネシンコ→猿払村,長万部→長万部町",,
北海道,浦河町,道路台帳,"撮影,写測","8000,,1000","285.0KM2,24.4KM2",浦河町,北海航測,"55.5.12,57.8.31",135,,,,
