都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,計画機関,作業機関,実施時期,付図番号,,2018.01.10地名修正
北海道,"函館市,",道路台帳,基準点,1級,24point,北海道函館市助言600424A0366,(株)パスコ,"60.04.10,60.10.30",,,
北海道,"札幌市,",公共基準点測量(移転),基準点,1級,1point,北海道札幌市助言601113A1583,大東測地(株),"60.11.02,60.11.25",,,
北海道,"札幌市,",道路台帳,基準点,1級,1point,北海道札幌市助言600905A1260,(株)ロック建設技術研究所,"60.08.28,60.12.16",,,
北海道,"旭川市,",公共基準点の整備,基準点,1級,63point,北海道旭川市助言600606A0737,"日測技研(株),(株)北都測量社","60.06.15,63.10.31",,,
北海道,"紋別市,",河川改修計画,基準点,2級,2point,網走開発建設部助言600524A0621,北海道測量事業協同組合,"60.06.15,60.12.11",,,
北海道,"上士幌町,",道路計画(国道273号),基準点,2級,5point,帯広開発建設部助言600624A0864,北海道測量事業協同組合,"60.06.24,60.08.10",,,
北海道,"釧路市,",道路計画(国道38号大楽毛地区),基準点,2級,2point,釧路開発建設部助言601105A1530,北海道測量事業協同組合,"60.10.31,61.01.10",,,
北海道,"中標津町,",基準点測量,基準点,2級,6point,北海道中標津町助言600509A0487,(有)津村測量,"60.05.20,60.06.29",,,
北海道,"足寄町,",土地改良,基準点,2級,2point,帯広開発建設部助言601202A1634,(株)日本農業土木コンサルタンツ,"60.12.02,61.03.31",,,
北海道,"美唄市,",道路台帳,"基準点,写測図化,写測図化","3級,,500,,1000","8point,4.3KM2,20.7KM2",北海道美唄市助言600708A0963,"シン航空写真(株),(株)空知測量","60.06.22,62.03.31",,,
北海道,"小樽市,",境界測量(開拓財産),"基準点,基準点,平板","3級,,4級,,2500","4point,8point,7.4KM2",北海道後志支庁助言600515A0536,北海航測(株),"60.06.01,60.12.31",,,
北海道,"遠別町,",境界測量(開拓財産),"基準点,基準点","3級,,4級","3point,7point",北海道留萌支庁助言600731A1105,北海航測(株),"60.07.30,60.12.19",,,
北海道,"標茶町,",境界測量(開拓財産),"基準点,基準点,平板","3級,,4級,,2500","17point,44point,0.3KM2",北海道釧路支庁助言600717A1036,"北王コンサルタント(株),山下測量(株),ロイヤル測量設計(株)","60.07.26,60.11.03",,,
北海道,"赤井川村,",境界測量(開拓財産),"基準点,基準点,平板","3級,,4級,,2500","5point,8point,16.8KM2",北海道後志支庁助言600515A0534,"(有)細道測量,(株)香島測量設計事務所","60.06.01,60.12.31",,,
北海道,"赤井川村,",境界測量(開拓財産),"基準点,基準点,平板","3級,,4級,,2500","3point,7point,10.9KM2",北海道後志支庁助言600515A0535,北海道パブリックコンサルタント(株),"60.06.01,60.12.31",,,
北海道,"標茶町,",境界測量(開拓財産),"基準点,平板","4級,,2500","29point,0.2KM2",北海道釧路支庁助言600717A1035,"東邦測量(株),(株)矢本測量","60.07.26,60.11.03",,,
北海道,"旭川市,北竜町,南富良野町,稚内市,礼文町,猿払村,中頓別町,枝幸町,豊富町,幌延町,上川町,愛別町,遠別町,",境界測量(国有林),"基準点,路線","簡級,,","14point,40.0km",旭川営林局助言600514A0521,直営,"60.05.20,60.10.17",,,
北海道,"標津町,別海町,弟子屈町,鶴居村,",境界測量,基準点,簡級,33.0km,帯広営林支局助言600603A0692,直営,"60.06.03,60.10.12",,,
