都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,計画機関,作業機関,実施時期,付図番号,,2018.01.09修正
北海道,"清里町,",道路計画,基準点,1級,6point,網走開発建設部助言620805A0380,北海道測量事業協同組合,"62.08.29,62.12.21",,,
北海道,"網走市,",ダム計画,基準点,1級,4point,網走開発建設部助言621026A0614,北海道測量事業協同組合,"62.10.24,62.12.22",,,
北海道,"札幌市,",環境整備,基準点,1級,1point,北海道札幌市助言620917A0499,(株)総合開発技術コンサルタント,"62.09.10,62.09.24",,,
北海道,"網走市,小清水町,",排水路計画,基準点,1級,5point,網走開発建設部助言630106A0677,サン測量設計(有),"62.12.17,63.02.24",,,
北海道,"斜里町,",道路計画,"基準点,基準点","1級,,3級","4point,7point",網走開発建設部助言620713A0324,(株)土木技術コンサルタント,"62.06.30,62.09.21",,,
北海道,"清里町,",土地改良(小清水地区),基準点,1級,4point,網走開発建設部助言620917A0508,北海道農士コンサルタント(株),"62.09.01,62.11.30",,,
北海道,"札幌市,",公共基準点(移設),基準点,1級,1point,北海道札幌市助言620521A0122,北海道石狩地域都市施設事務所,"62.06.10,62.07.30",,,
北海道,"札幌市,",河川計画(厚別川),"基準点,平板","2級,,1000","6point,0.3KM2",札幌土木現業所助言620917A0504,サンコーコンサルタント(株),"62.09.25,62.10.25",,,
北海道,"遠別町,",道路計画,基準点,2級,7point,留萌開発建設部助言620522A0136,北海道開発コンサルタント(株),"62.06.01,62.08.10",,,
北海道,"札幌市,",土地区画整理,"基準点,平板","2級,,2500","22point,2.0KM2",北海道札幌市助言620605A0176,北日本測地(株),"62.05.22,62.09.08",,,
北海道,"札幌市,",土地区画整理(丘珠第1地区),基準点,2級,37point,北海道札幌市助言620911A0491,"北日本測地(株),(株)竹川測量","62.05.19,62.11.06",,,
北海道,"札幌市,",土地区画整理(富丘北地区),基準点,2級,17point,北海道札幌市助言620911A0493,"北日本測地(株),(株)佐川測量社,和光技研(株),フキタ測量設計(株)","62.06.15,62.12.11",,,
北海道,"札幌市,",土地区画整理(百合が原、太平),基準点,2級,28point,北海道札幌市助言620911A0494,"(株)竹川測量,(株)松木測量,(株)小岩測量,(株)協和測量社","62.05.02,62.09.14",,,
北海道,"札幌市,",公共基準点(復旧),基準点,2級,4point,北海道札幌市助言621117A0650,大東測地(株),"62.11.15,62.12.24",,,
北海道,"札幌市,",土地区画整理,基準点,2級,39point,北海道札幌市助言620610A0202,(株)佐川測量社,"62.05.28,62.07.14",,,
北海道,"網走市,",道路計画,基準点,2級,4point,網走開発建設部助言620702A0270,北海道測量事業協同組合,"62.06.27,62.09.14",,,
北海道,"中標津町,",道路計画,"基準点,基準点","2級,,3級","3point,4point",釧路開発建設部助言620929A0525,北海道測量事業協同組合,"62.10.05,62.12.20",,,
北海道,"標茶町,",河川計画,"基準点,基準点","2級,,3級","2point,2point",釧路開発建設部助言621005A0537,北海道測量事業協同組合,"62.10.12,62.12.10",,,
北海道,"湧別町,",道路計画,基準点,2級,5point,網走開発建設部助言621022A0601,北海道測量事業協同組合,"62.10.24,62.12.25",,,
北海道,"音別町,",河川計画,基準点,2級,4point,釧路開発建設部助言621211A0674,北海道測量事業協同組合,"62.11.20,63.02.27",,,
北海道,"白糠町,",河川計画,基準点,2級,3point,釧路開発建設部助言630108A0690,北海道測量事業協同組合,"63.01.07,63.03.12",,,
北海道,"女満別町,",道路計画,"基準点,基準点","2級,,3級","6point,6point",網走開発建設部北見農業事務所助言630316A0707,前谷測量設計(株),"63.03.03,63.03.24",,,
北海道,"根室市,",道路計画,基準点,2級,7point,釧路開発建設部助言621026A0612,(株)小林測量設計事務所,"62.11.09,62.12.25",,,
北海道,"端野町,",道路計画(一般国道39号),基準点,2級,5point,網走開発建設部助言620706A0284,(株)ドボク管理事務所,"62.05.30,62.09.26",,,
北海道,"音別町,",都市基準点設置,基準点,2級,7point,北海道音別町助言620610A0198,東邦コンサルタント(株),"62.06.08,62.08.31",,,
北海道,"紋別市,",道路実測線調査,基準点,2級,4point,網走開発建設部助言620702A0263,平田測量設計(株),"62.06.17,62.09.02",,,
北海道,"栗沢町,",道路計画,基準点,2級,2point,北海道栗沢町助言620623A0248,(株)東亜エンジニアリング,"62.06.22,62.07.20",,,
北海道,"網走市,",道路計画(国道238号),"基準点,基準点","2級,,3級","5point,6point",網走開発建設部助言620706A0285,北路産業(株),"62.05.30,62.09.26",,,
北海道,"雄武町,",道路計画,"基準点,基準点","2級,,3級","3point,3point",網走開発建設部助言620713A0343,北路産業(株),"62.06.20,62.09.17",,,
北海道,"網走市,小清水町,東藻琴村,",農地開発,"基準点,基準点","2級,,3級","5point,9point",網走開発建設部助言630316A0706,朝日航洋(株),"63.02.06,63.03.16",,,
北海道,"音別町,",河川計画,基準点,2級,2point,釧路開発建設部助言621211A0675,(株)共立技研,"62.11.20,63.02.27",,,
北海道,"雄武町,",道路計画,基準点,2級,2point,網走開発建設部助言620713A0341,(株)田西設計コンサルタント,"62.06.30,62.08.10",,,
北海道,"札幌市,",土地区画整理(屯田地区),基準点,2級,29point,北海道札幌市助言620911A0492,"北日本コンサルタント(株),北日本測地(株),(株)野崎事務所,(株)協和測量社,(株)松木測量,(株)竹川測量","62.05.25,62.11.27",,,
北海道,"斜里町,",道路計画(斜里地区),基準点,3級,4point,網走開発建設部助言620820A0424,(株)北海道測量図工社,"62.08.20,62.11.30",,,
北海道,"共和町,","ほ場整備,下梨地区換地確定",基準点,3級,3point,北海道後志支庁助言620522A0140,北日本測地(株),"62.05.27,63.03.10",,,
北海道,"網走市,",ダム計画,基準点,3級,5point,網走開発建設部助言621026A0615,東建地質調査(株),"62.11.07,63.01.11",,,
北海道,"札幌市,",地図整備事業,"基準点,平板","3級,,500","158point,3.6KM2",北海道札幌市助言620820A0435,"(株)竹川測量,道興建設コンサルタンツ(株),(株)松木測量,(株)北海道技術コンサルタント,(株)石橋測量,三洋測量(有)","62.07.20,63.01.14",,,
北海道,"足寄町,",開拓財産(西足寄地区),"基準点,基準点,平板","3級,,4級,,2500","19point,20point,9.4KM2",北海道十勝支庁助言620805A0388,北海航測(株),"62.08.06,62.11.24",,,
北海道,"津別町,",排水路用地,基準点,3級,3point,網走開発建設部助言620623A0230,北海道測量事業協同組合,"62.06.22,62.08.04",,,
北海道,"佐呂間町,",道路計画(幌岩道路),基準点,3級,4point,網走開発建設部助言620723A0307,北海道測量事業協同組合,"62.07.04,62.09.01",,,
北海道,"枝幸町,",開拓財産,"基準点,基準点","3級,,4級","4point,3point",北海道宗谷支庁助言620929A0516,(株)やまざき測量設計事務所,"62.09.19,62.11.04",,,
北海道,"帯広市,",開拓財産(川西村・岩内地区),"基準点,基準点,平板","3級,,4級,,2500","3point,12point,1.6KM2",北海道十勝支庁助言620805A0386,山下測量(株),"62.08.06,62.10.24",,,
北海道,"足寄町,",開拓財産(西足寄地区),"基準点,基準点,平板","3級,,4級,,2500","5point,12point,2.5KM2",北海道十勝支庁助言620805A0389,北王コンサルタント(株),"62.08.06,62.11.05",,,
北海道,"千歳市,",開拓財産,"基準点,基準点,平板","3級,,4級,,2500","17point,45point,55.7KM2",北海道石狩支庁助言620917A0500,"ロイヤル測量設計(株),三砂測量設計(株),北海道パブリックコンサルタント(株)","62.09.23,62.12.13",,,
北海道,"中標津町,",開拓財産,"基準点,基準点","3級,,4級","6point,48point",北海道根室支庁助言620820A0440,(株)小林測量設計事務所,"62.08.14,62.11.16",,,
北海道,"陸別町,",開拓財産(陸別地区),"基準点,基準点,平板","3級,,4級,,2500","3point,12point,8.2KM2",北海道十勝支庁助言620805A0390,(株)香島測量設計事務所,"62.08.06,62.11.24",,,
北海道,"東藻琴村,",道路計画,基準点,3級,7point,網走開発建設部助言620713A0342,(株)ドボク管理事務所,"62.06.13,62.09.21",,,
北海道,"美幌町,",道路計画,基準点,3級,11point,網走開発建設部助言630301A0705,(株)ドボク管理事務所,"62.09.26,63.03.25",,,
北海道,"標茶町,",開拓財産,基準点,3級,4point,北海道釧路支庁助言630106A0684,北海道パブリックコンサルタント(株),"62.12.05,63.01.19",,,
北海道,"石狩町,当別町,",道路改良(望来当別線),基準点,3級,2point,札幌土木現業所助言620820A0427,北海道道路エンジニアリング(株),"62.08.15,63.03.20",,,
北海道,"帯広市,",開拓財産(川西村・岩内地区),"基準点,基準点,平板","3級,,4級,,2500","6point,15point,2.1KM2",北海道十勝支庁助言620805A0387,東邦コンサルタント(株),"62.08.06,62.11.09",,,
北海道,"釧路町,",開拓財産,基準点,3級,8point,北海道釧路支庁助言630106A0680,東邦コンサルタント(株),"62.12.04,63.01.18",,,
北海道,"蘭越町,",道路計画,"基準点,平板","3級,,","3point,2.0KM2",北海道蘭越町助言620818A0360,北山測量設計(株),"62.06.23,62.09.30",,,
北海道,"岩見沢市,栗沢町,",河川管理(幌向川),"基準点,平板","3級,,1000","2point,2.6KM2",札幌土木現業所助言620601A0154,開成測量(株),"62.05.25,62.07.20",,,
北海道,"津別町,",農地開発(活汲地区),基準点,3級,1point,網走開発建設部助言621022A0571,高木測量設計(株),"62.10.13,62.11.04",,,
北海道,"帯広市,",道路計画,基準点,3級,5.2km,帯広開発建設部助言620623A0226,(株)土木技術コンサルタント,"62.05.30,62.09.26",,,
北海道,"紋別市,",道路計画,基準点,3級,7point,網走開発建設部助言620713A0325,(株)土木技術コンサルタント,"62.06.30,62.09.21",,,
北海道,"小平町,",開拓財産(川上本流地区),"基準点,基準点","3級,,4級","6point,23point",北海道留萌支庁助言620805A0393,(株)矢本測量,"62.08.14,62.11.11",,,
北海道,"網走市,",道路計画,基準点,3級,4point,網走開発建設部助言620713A0340,(株)田宮設計事務所,"62.07.06,62.09.17",,,
北海道,"黒松内町,","農地開発,南後志地区換地確定",基準点,3級,1point,北海道後志支庁助言620522A0139,北海道土地改良団体連合会,"62.06.15,63.03.10",,,
北海道,"苫前町,豊富町,中頓別町,枝幸町,幌延町,上川町,愛別町,深川市,小平町,遠別町,",森林計画(境界測量),"基準点,路線","簡級,,","12point,32.1km",旭川営林支局助言620511A0053,直営,"62.05.11,62.10.31",,,
北海道,"浜益村,夕張市,赤井川村,札幌市,古平町,積丹町,",森林計画(境界整備),"基準点,路線","簡級,,","2point,40.6km",北海道営林局助言620518A0063,直営,"62.05.11,62.12.31",,,
北海道,"札幌市,江別市,石狩町,当別町,",地盤変動調査,水準,1級,63.0km,北海道石狩支庁助言620929A0530,大東測地(株),"62.09.30,62.11.30",621290,,
北海道,"札幌市,石狩町,",地盤変動調査,水準,1級,38.0km,北海道地下資源調査所助言621005A0546,大東測地(株),"62.09.24,62.11.30",621378,,
北海道,"江別市,",地盤変動調査,水準,1級,9.5km,北海道江別市助言621022A0570,大東測地(株),"62.10.01,63.03.31",621510,,
北海道,"札幌市,",地盤変動調査,水準,1級,53.4km,北海道札幌市助言621022A0562,大東測地(株),"62.10.12,62.12.20",621512,,
北海道,"滝川市,赤平市,芦別市,富良野市,",道路計画,水準,1級,32point,札幌開発建設部滝川道路事務所助言621007A0529,日測技研(株),"62.09.19,62.12.18",,,
北海道,"奈井江町,",道路計画,"水準,平板","3級,,1000","1point,",北海道奈井江町助言620831A0448,和光技研(株),"62.08.24,62.09.20",,,
北海道,"芦別市,",道路計画,水準,3級,10point,札幌土木現業所助言620713A0339,北海道土木設計(株),"62.08.17,62.11.30",,,
北海道,"別海町,弟子屈町,厚岸町,",森林計画,路線,簡級,26.0km,帯広営林支局助言620526A0146,直営,"62.07.01,62.10.09",,,
