都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,計画機関,作業機関,実施時期,,,2018.01.09計算結果に基づく修正
北海道,"千歳市,恵庭市,追分町,",道路計画,"基準点,水準","1級,,3級","31point,5.0km",日本道路公団札幌建設局千歳工事事務所助言010322A0702,パシフィックコンサルタンツ(株),"01.03.27,01.07.31",,,
北海道,"鹿追町,",直轄灌漑排水美蔓地区実施設計,基準点,1級,7point,帯広開発建設部助言631003A0544,(株)北海道測量図工社,"63.10.05,01.01.10",,,
北海道,"札幌市,",1級基準点測量(藤野932外),基準点,1級,1point,北海道札幌市助言630524A0159,(株)竹川測量,"63.05.20,63.10.07",,,
北海道,"網走市,小清水町,",道路計画,基準点,1級,3point,網走開発建設部助言630422A0040,"北海道測量事業協同組合,(株)ドボク管理事務所","63.04.26,63.06.20",,,
北海道,"広尾町,",国道236上豊似1級基準点測量,基準点,1級,11point,帯広開発建設部助言630524A0156,北海道測量事業協同組合,"63.05.30,63.09.10",,,
北海道,"小清水町,",畑地帯総合土地改良斜網西部地区,基準点,1級,5point,網走開発建設部助言631013A0562,北海道農業土木コンサルタント(株),"63.08.27,63.12.20",,,
北海道,"興部町,",富丘地区恩沙留川排水路工事用確,基準点,2級,2point,網走開発建設部助言631101A0600,東日本航空(株),"63.10.14,63.12.06",,,
北海道,"釧路市,",河川計画,基準点,2級,5point,釧路開発建設部助言631109A0626,(株)北海道測量図工社,"63.09.23,01.03.20",,,
北海道,"上士幌町,",砂防工事のための地形調査,"基準点,基準点","2級,,3級","1point,3point",北海道帯広土木現業所助言630829A0474,シン航空写真(株),"63.08.25,63.10.30",,,
北海道,"白滝村,",国道333号白滝道路測量調査,基準点,2級,6point,網走開発建設部助言631024A0588,北海道開発コンサルタント(株),"63.10.12,63.12.20",,,
北海道,"苫小牧市,千歳市,長沼町,早来町,",石狩川改修工事千歳川基準点測量,基準点,2級,66point,石狩川開発建設部助言631213A0672,北海道開発コンサルタント(株),"63.10.25,01.02.20",,,
北海道,"広島町,",土地区画整理,基準点,2級,6point,北海道広島町助言630526A0188,(株)竹川測量,"63.06.06,63.09.30",,,
北海道,"札幌市,",定山溪急傾斜地防止工事地形測量,"基準点,基準点","2級,,3級","1point,1point",北海道札幌土木現業所助言630722A0414,(株)ダイヤコンサルタント,"63.07.04,63.08.30",,,
北海道,"札幌市,札幌市,",札幌市公共基準点の復旧,基準点,2級,6point,北海道札幌市助言631122A0666,大東測地(株),"63.10.28,64.01.05",,,
北海道,"網走市,小清水町,",道路計画,基準点,2級,2point,網走開発建設部助言630422A0041,"北海道測量事業協同組合,(株)ドボク管理事務所","63.04.26,63.06.20",,,
北海道,"東藻琴村,",道道東藻琴豊富線奥藻琴道路用確,基準点,2級,4point,網走開発建設部助言631024A0586,北海道測量事業協同組合,"63.10.25,63.12.28",,,
北海道,"紋別市,",国道273下渚滑歩道設置用確,基準点,2級,4point,網走開発建設部助言631122A0659,北海道測量事業協同組合,"63.11.24,63.12.23",,,
北海道,"興部町,",国道238宮下道路工事用確,基準点,2級,3point,網走開発建設部助言631122A0661,北海道測量事業協同組合,"63.11.24,63.12.23",,,
北海道,"鶴居村,",交通安全施設工事調査委託,基準点,2級,3point,北海道釧路土木現業所助言630621A0296,(有)郡測量社,"63.06.18,63.09.20",,,
北海道,"幌加内町,",道路計画,基準点,2級,5point,札幌開発建設部助言630722A0413,(株)アサヒ建設コンサルタント,"63.08.01,63.09.25",,,
北海道,"根室市,",国有地(開拓財産)の境界測量,"基準点,基準点,基準点","2級,,3級,,4級","26point,87point,114point",北海道根室支庁助言630815A0448,"(株)小林測量設計事務所,(有)津村測量,東邦コンサルタント(株)","63.08.11,63.12.15",,,
北海道,"西興部村,雄武町,",道道雄武地区道路測量設計業務,基準点,2級,7point,網走開発建設部助言630722A0410,(株)ドボク管理事務所,"63.06.25,63.10.22",,,
北海道,"佐呂間町,",国道333ルクシ峠道路工事用確,基準点,2級,4point,網走開発建設部助言630928A0527,(株)ドボク管理,"63.10.06,63.12.26",,,
北海道,"白滝村,",道路計画333号北見峠用確,基準点,2級,4point,網走開発建設部助言631005A0555,北見コンサルタント(株),"63.10.11,63.11.21",,,
北海道,"音別町,",都市基準点の設置,基準点,2級,9point,北海道音別町助言630617A0287,東邦コンサルタント(株),"63.06.06,63.08.13",,,
北海道,"白糠町,",河川計画,基準点,2級,2point,釧路開発建設部助言630815A0445,東邦コンサルタント(株),"63.07.23,01.01.18",,,
北海道,"上士幌町,",国道273道路改築路線測量,基準点,2級,5point,帯広開発建設部助言630714A0391,(株)土木技術コンサルタント,"63.05.21,63.08.18",,,
北海道,"浦幌町,",国道336道路改築路線測量,基準点,2級,5point,帯広開発建設部助言630714A0392,(株)土木技術コンサルタント,"63.06.04,63.08.02",,,
北海道,"帯広市,芽室町,",国道38道路改築路線測量,基準点,2級,9point,帯広開発建設部助言630714A0398,(株)土木技術コンサルタント,"63.06.25,63.10.22",,,
北海道,"音更町,",国道241道路改築路線測量,基準点,2級,8point,帯広開発建設部助言630714A0399,(株)土木技術コンサルタント,"63.06.04,63.10.01",,,
北海道,"津別町,",道路計画,基準点,2級,4point,網走開発建設部助言630422A0042,高野測量(有),"63.04.27,63.06.15",,,
北海道,"西興部村,",239号奥興部道路測量設計業務,基準点,2級,4point,網走開発建設部助言630722A0411,北路産業(株),"63.06.25,63.09.22",,,
北海道,"南幌町,",道路計画,"基準点,基準点,水準","2級,,3級,,2級","1point,1point,8.4km",北海道札幌土木現業所助言630627A0333,(株)北海技建,"63.06.19,63.07.17",,,
